Unnamed: 0,LAR,SFO
First Downs,20,16
Rush-Yds-TDs,36-146-2,24-107-0
Cmp-Att-Yd-TD-INT,18-24-202-2-0,15-27-170-1-2
Sacked-Yards,1-9,7-49
Net Pass Yards,193,121
Total Yards,339,228
Fumbles-Lost,1-0,3-2
Turnovers,0,4
Penalties-Yards,1-10,2-10
Third Down Conv.,5-12,3-11
Fourth Down Conv.,0-0,0-1
Time of Possession,32:51,27:09
