Quarter,Time,Tm,Detail,LAR,SFO
1.0,6:34,Rams,Greg Zuerlein 35 yard field goal,3,0
2.0,14:23,Rams,Todd Gurley 7 yard rush (Greg Zuerlein kick),10,0
,12:59,Rams,"Safety, Blocked Punt O.B. in end zone",12,0
,10:05,Rams,Greg Zuerlein 37 yard field goal,15,0
,2:30,Rams,Brandin Cooks 19 yard pass from Jared Goff (Greg Zuerlein kick),22,0
,0:13,49ers,George Kittle 10 yard pass from C.J. Beathard (Robbie Gould kick),22,7
3.0,8:06,Rams,Greg Zuerlein 33 yard field goal,25,7
,6:04,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),32,7
,2:37,49ers,Robbie Gould 51 yard field goal,32,10
4.0,11:35,Rams,Todd Gurley 12 yard pass from Jared Goff (Greg Zuerlein kick),39,10
