Quarter,Time,Tm,Detail,CLE,CIN
1.0,8:43,Browns,Denzel Ward 99 yard interception return (Chase McLaughlin kick),7,0
,4:10,Bengals,Joe Mixon 11 yard rush (Evan McPherson kick),7,7
2.0,14:45,Browns,Nick Chubb 1 yard rush (Chase McLaughlin kick),14,7
,10:10,Browns,Donovan Peoples-Jones 60 yard pass from Baker Mayfield (Chase McLaughlin kick),21,7
,4:10,Browns,Chase McLaughlin 28 yard field goal,24,7
,0:02,Bengals,Evan McPherson 27 yard field goal,24,10
3.0,8:00,Browns,Nick Chubb 70 yard rush (Chase McLaughlin kick),31,10
,5:14,Browns,Chase McLaughlin 24 yard field goal,34,10
4.0,13:51,Bengals,Joe Mixon 2 yard rush (run failed),34,16
,4:27,Browns,David Njoku 18 yard pass from Baker Mayfield (Chase McLaughlin kick),41,16
