Unnamed: 0,CLE,CIN
First Downs,14,25
Rush-Yds-TDs,23-153-2,23-85-2
Cmp-Att-Yd-TD-INT,14-21-218-2-0,29-42-288-0-2
Sacked-Yards,2-10,5-25
Net Pass Yards,208,263
Total Yards,361,348
Fumbles-Lost,2-0,4-1
Turnovers,0,3
Penalties-Yards,10-84,4-31
Third Down Conv.,3-9,3-11
Fourth Down Conv.,0-0,0-2
Time of Possession,24:38,35:22
