Quarter,Time,Tm,Detail,DEN,MIA
1.0,5:50,Dolphins,Olindo Mare 29 yard field goal,0,3
2.0,12:36,Dolphins,Olindo Mare 44 yard field goal,0,6
,1:51,Broncos,Jason Elam 28 yard field goal,3,6
3.0,4:47,Dolphins,Randy McMichael 2 yard pass from Gus Frerotte (Olindo Mare kick),3,13
4.0,13:11,Dolphins,Sammy Morris 9 yard rush (Olindo Mare kick),3,20
,9:19,Broncos,Kyle Johnson 2 yard pass from Jake Plummer (Jason Elam kick),10,20
,9:09,Dolphins,Marty Booker 60 yard pass from Gus Frerotte (Olindo Mare kick),10,27
,0:00,Dolphins,Jason Taylor 85 yard defensive fumble return (Olindo Mare kick),10,34
