Unnamed: 0,DEN,MIA
First Downs,19,21
Rush-Yds-TDs,20-70-0,33-151-1
Cmp-Att-Yd-TD-INT,22-48-251-1-2,24-36-275-2-1
Sacked-Yards,1-9,0-0
Net Pass Yards,242,275
Total Yards,312,426
Fumbles-Lost,2-1,3-2
Turnovers,3,3
Penalties-Yards,7-73,11-69
Third Down Conv.,1-12,8-15
Fourth Down Conv.,1-3,0-2
Time of Possession,27:42,32:18
