Unnamed: 0,CIN,DAL
First Downs,18,18
Rush-Yds-TDs,23-61-0,38-198-1
Cmp-Att-Yd-TD-INT,23-39-217-2-1,14-23-176-3-1
Sacked-Yards,2-9,1-1
Net Pass Yards,208,175
Total Yards,269,373
Fumbles-Lost,1-1,2-1
Turnovers,2,2
Penalties-Yards,7-44,6-52
Third Down Conv.,6-14,9-15
Fourth Down Conv.,0-1,1-1
Time of Possession,28:15,31:45
