Quarter,Time,Tm,Detail,CIN,DAL
1.0,13:06,Cowboys,Nick Folk 30 yard field goal,0,3
,6:00,Cowboys,Felix Jones 33 yard rush (Nick Folk kick),0,10
2.0,12:12,Cowboys,Jason Witten 4 yard pass from Tony Romo (Nick Folk kick),0,17
,8:15,Bengals,Shayne Graham 41 yard field goal,3,17
,0:34,Bengals,Shayne Graham 31 yard field goal,6,17
3.0,7:59,Bengals,T.J. Houshmandzadeh 18 yard pass from Carson Palmer (Shayne Graham kick),13,17
4.0,14:02,Bengals,Shayne Graham 40 yard field goal,16,17
,11:46,Cowboys,Terrell Owens 57 yard pass from Tony Romo (Nick Folk kick),16,24
,7:39,Bengals,T.J. Houshmandzadeh 10 yard pass from Carson Palmer (pass failed),22,24
,1:52,Cowboys,Patrick Crayton 15 yard pass from Tony Romo (Nick Folk kick),22,31
