Quarter,Time,Tm,Detail,HOU,NYJ
1.0,11:28,Jets,Nick Folk 37 yard field goal,0,3
2.0,10:17,Texans,Arian Foster 2 yard rush (Neil Rackers kick),7,3
,5:18,Jets,Braylon Edwards 4 yard pass from Mark Sanchez (Nick Folk kick),7,10
,0:58,Jets,Nick Folk 33 yard field goal,7,13
3.0,4:38,Jets,Santonio Holmes 41 yard pass from Mark Sanchez (Nick Folk kick),7,20
4.0,14:51,Jets,Nick Folk 30 yard field goal,7,23
,12:21,Texans,Neil Rackers 38 yard field goal,10,23
,9:14,Texans,Joel Dreessen 43 yard pass from Matt Schaub (Neil Rackers kick),17,23
,2:18,Texans,Arian Foster 1 yard rush (Neil Rackers kick),24,23
,0:55,Texans,Neil Rackers 22 yard field goal,27,23
,0:10,Jets,Santonio Holmes 6 yard pass from Mark Sanchez (Nick Folk kick),27,30
