Quarter,Time,Tm,Detail,ATL,NOR
1.0,11:21,Falcons,Younghoe Koo 28 yard field goal,3,0
,2:47,Saints,Wil Lutz 22 yard field goal,3,3
2.0,13:56,Falcons,Younghoe Koo 51 yard field goal,6,3
,4:31,Falcons,Younghoe Koo 52 yard field goal,9,3
,1:46,Saints,Alvin Kamara 3 yard rush (Wil Lutz kick),9,10
3.0,9:11,Saints,Taysom Hill 2 yard rush (Wil Lutz kick),9,17
4.0,12:41,Saints,Taysom Hill 10 yard rush (Wil Lutz kick),9,24
