Unnamed: 0,ATL,NOR
First Downs,14,24
Rush-Yds-TDs,14-52-0,36-166-3
Cmp-Att-Yd-TD-INT,19-37-232-0-2,18-23-233-0-0
Sacked-Yards,8-36,3-23
Net Pass Yards,196,210
Total Yards,248,376
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,7-53,5-35
Third Down Conv.,2-14,4-11
Fourth Down Conv.,2-3,1-1
Time of Possession,26:19,33:41
