Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Russell Gage,ATL,12,7,58,0,3,36,5.1,22,3.1,8.5,1,7.0,2,16.7,0,70.8
Calvin Ridley,ATL,9,5,90,0,3,79,15.8,11,2.2,17.9,0,,1,11.1,1,50.5
Christian Blake,ATL,4,2,28,0,1,19,9.5,9,4.5,8.8,0,,0,0.0,0,72.9
Julio Jones,ATL,2,2,39,0,2,32,16.0,7,3.5,16.0,0,,0,0.0,0,118.7
Todd Gurley,ATL,2,1,3,0,0,2,2.0,1,1.0,1.0,0,,0,0.0,0,56.2
Keith Smith,ATL,1,1,4,0,,1,1.0,3,3.0,1.0,0,,0,0.0,0,83.3
Olamide Zaccheaus,ATL,1,1,10,0,1,11,11.0,-1,-1.0,11.0,0,,0,0.0,0,108.3
Hayden Hurst,ATL,2,0,0,0,,0,,0,,5.0,0,,0,0.0,0,39.6
Luke Stocker,ATL,1,0,0,0,,0,,0,,0.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Michael Thomas,NOR,12,9,104,0,4,90,10.0,14,1.6,8.9,0,,1,8.3,0,100.7
Emmanuel Sanders,NOR,5,4,66,0,2,44,11.0,22,5.5,8.8,0,,0,0.0,0,118.7
Latavius Murray,NOR,2,2,36,0,1,-12,-6.0,48,24.0,-6.0,0,,0,0.0,0,118.7
Jared Cook,NOR,1,1,6,0,1,6,6.0,0,0.0,6.0,0,,0,0.0,0,91.7
Deonte Harty,NOR,1,1,2,0,0,-4,-4.0,6,6.0,-4.0,0,,0,0.0,0,79.2
Adam Trautman,NOR,1,1,19,0,1,6,6.0,13,13.0,6.0,0,,0,0.0,0,118.7
Alvin Kamara,NOR,1,0,0,0,0,0,,0,,-5.0,0,,1,100.0,0,39.6
