Quarter,Time,Down,ToGo,Location,SDG,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Nate Kaeding kicks off 62 yards, returned by Dante Hall for 16 yards (tackle by Quentin Jammer)",0.000,0.540
1,14:56,1,10,KAN 24,0,0,Larry Johnson left end for 2 yards (tackle by Igor Olshansky),0.540,0.270
1,14:11,2,8,KAN 26,0,0,Trent Green pass incomplete,0.270,-0.430
1,14:05,3,8,KAN 26,0,0,Trent Green pass incomplete intended for Dante Hall,-0.430,-1.630
1,14:00,4,8,KAN 26,0,0,"Dustin Colquitt punts 29 yards, fair catch by Eric Parker",-1.630,-1.930
1,13:54,1,10,SDG 45,0,0,LaDainian Tomlinson left tackle for -1 yards (tackle by Derrick Johnson),1.930,1.250
1,13:24,2,11,SDG 44,0,0,LaDainian Tomlinson right end for 5 yards (tackle by Patrick Surtain),1.250,1.220
1,12:39,3,6,SDG 49,0,0,Drew Brees pass incomplete intended for Keenan McCardell,1.220,-0.130
1,12:38,4,6,SDG 49,0,0,"Mike Scifres punts 38 yards, returned by Dante Hall for 44 yards (tackle by Mike Scifres)",-0.130,-2.720
1,12:26,1,10,SDG 43,0,0,Trent Green pass complete to Larry Johnson for 5 yards (tackle by Randall Godfrey),2.720,2.850
1,11:50,2,5,SDG 38,0,0,Larry Johnson up the middle for 21 yards (tackle by Quentin Jammer and Clinton Hart),2.850,4.440
1,11:01,1,10,SDG 17,0,0,Larry Johnson up the middle for 2 yards (tackle by Luis Castillo),4.440,4.150
1,10:22,2,8,SDG 15,0,0,Trent Green pass incomplete intended for Larry Johnson,4.150,3.340
1,10:17,3,8,SDG 15,0,0,Larry Johnson right end for 11 yards (tackle by Bhawoh Jue),3.340,6.280
1,9:34,1,4,SDG 4,0,6,"Larry Johnson left end for 4 yards, touchdown",6.280,7.000
1,,,,SDG 2,0,7,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,KAN 30,0,7,"Lawrence Tynes kicks off 61 yards, returned by Darren Sproles for 16 yards (tackle by Jimmy Wilkerson)",0.000,0.610
1,9:22,1,10,SDG 25,0,7,Drew Brees pass complete to Antonio Gates for 22 yards (tackle by Sammy Knight),0.610,2.060
1,8:46,1,10,SDG 47,0,7,LaDainian Tomlinson up the middle for -3 yards (tackle by Lional Dalton),2.060,1.110
1,8:10,2,13,SDG 44,0,7,Drew Brees pass complete to LaDainian Tomlinson for 9 yards (tackle by Derrick Johnson),1.110,1.620
1,7:50,3,4,KAN 47,0,7,Drew Brees up the middle for 8 yards (tackle by John Browning),1.620,2.980
1,7:48,1,10,KAN 39,0,7,Drew Brees pass incomplete intended for Antonio Gates,2.980,2.440
1,7:01,2,10,KAN 39,0,7,"Drew Brees pass incomplete intended for Eric Parker. Penalty on Eric Warfield: Defensive Pass Interfere, 3 yards (no play)",2.440,3.180
1,6:57,1,10,KAN 36,0,7,LaDainian Tomlinson right end for no gain (tackle by Patrick Surtain),3.180,2.640
1,6:19,2,10,KAN 36,0,7,"Drew Brees pass incomplete intended for LaDainian Tomlinson. Penalty on Kris Dielman: Ineligible Downfield Pas, 5 yards (no play)",2.640,1.960
1,6:12,2,15,KAN 41,0,7,"Drew Brees pass incomplete intended for LaDainian Tomlinson. Penalty on Sammy Knight: Illegal Contact, 5 yards (no play)",1.960,3.180
1,6:07,1,10,KAN 36,0,7,Drew Brees pass complete to Keenan McCardell for 13 yards (tackle by Patrick Surtain),3.180,4.040
1,5:28,1,10,KAN 23,0,7,LaDainian Tomlinson up the middle for 5 yards (tackle by Kendrell Bell),4.040,4.210
1,4:53,2,5,KAN 18,0,7,Drew Brees pass complete to Justin Peelle for no gain,4.210,3.490
1,4:13,3,5,KAN 18,6,7,"Drew Brees pass complete to Antonio Gates for 18 yards, touchdown",3.490,7.000
1,,,,KAN 2,7,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,7,7,"Nate Kaeding kicks off 63 yards, returned by Dante Hall for 26 yards (tackle by Shaun Phillips)",0.000,1.140
1,3:59,1,10,KAN 33,7,7,Trent Green pass complete to Jason Dunn for 2 yards (tackle by Quentin Jammer),1.140,0.860
1,3:23,2,8,KAN 35,7,7,Larry Johnson left end for 1 yard (tackle by Clinton Hart),0.860,0.300
1,2:41,3,7,KAN 36,7,7,Trent Green pass complete to Tony Gonzalez for 14 yards (tackle by Donnie Edwards),0.300,2.260
1,2:04,1,10,SDG 50,7,7,Dante Hall right end for 6 yards (tackle by Clinton Hart),2.260,2.520
