Unnamed: 0,SDG,KAN
First Downs,15,20
Rush-Yds-TDs,20-80-0,37-144-1
Cmp-Att-Yd-TD-INT,18-33-161-1-1,19-35-207-2-0
Sacked-Yards,1-8,2-10
Net Pass Yards,153,197
Total Yards,233,341
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,7-58,7-48
Third Down Conv.,4-13,11-19
Fourth Down Conv.,2-3,1-2
Time of Possession,25:58,34:02
