Unnamed: 0,SDG,KAN
First Downs,12,18
Rush-Yds-TDs,32-191-2,24-88-0
Cmp-Att-Yd-TD-INT,10-21-157-1-1,21-40-227-1-3
Sacked-Yards,3-18,9-47
Net Pass Yards,139,180
Total Yards,330,268
Fumbles-Lost,2-0,1-1
Turnovers,1,4
Penalties-Yards,6-36,6-44
Third Down Conv.,4-14,6-18
Fourth Down Conv.,0-0,2-4
Time of Possession,26:02,33:58
