Unnamed: 0,ATL,PHI
First Downs,16,18
Rush-Yds-TDs,18-74-1,27-113-2
Cmp-Att-Yd-TD-INT,21-43-251-0-1,20-35-132-0-1
Sacked-Yards,4-26,2-13
Net Pass Yards,225,119
Total Yards,299,232
Fumbles-Lost,1-0,2-1
Turnovers,1,2
Penalties-Yards,15-135,11-101
Third Down Conv.,4-15,8-16
Fourth Down Conv.,0-1,0-0
Time of Possession,27:50,32:10
