Quarter,Time,Tm,Detail,ATL,PHI
1.0,5:01,Falcons,Matt Bryant 21 yard field goal,3,0
2.0,6:09,Eagles,Jake Elliott 26 yard field goal,3,3
,2:08,Falcons,Matt Bryant 52 yard field goal,6,3
3.0,4:37,Eagles,Jay Ajayi 1 yard rush (Jake Elliott kick),6,10
4.0,9:48,Falcons,Tevin Coleman 9 yard rush (Matt Bryant kick failed),12,10
,2:19,Eagles,Jay Ajayi 11 yard rush (Jay Ajayi run),12,18
