Unnamed: 0,LVR,LAC
First Downs,16,26
Rush-Yds-TDs,26-160-2,31-128-1
Cmp-Att-Yd-TD-INT,13-23-165-2-0,28-42-326-2-0
Sacked-Yards,1-5,2-14
Net Pass Yards,160,312
Total Yards,320,440
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,2-10,5-45
Third Down Conv.,5-10,7-15
Fourth Down Conv.,0-0,2-2
Time of Possession,25:16,34:44
