Quarter,Time,Tm,Detail,OAK,SDG
1.0,11:33,Raiders,Sebastian Janikowski 37 yard field goal,3,0
,8:49,Chargers,Nate Kaeding 41 yard field goal,3,3
2.0,11:14,Chargers,Antonio Gates 6 yard pass from Drew Brees (Nate Kaeding kick),3,10
,6:59,Raiders,Courtney Anderson 16 yard pass from Kerry Collins (Sebastian Janikowski kick),10,10
,0:18,Chargers,Michael Turner 2 yard rush (Nate Kaeding kick),10,17
3.0,4:55,Chargers,Eric Parker 1 yard pass from Drew Brees (Nate Kaeding kick),10,24
4.0,13:33,Chargers,Nate Kaeding 32 yard field goal,10,27
,6:29,Chargers,Clinton Hart 70 yard interception return (Nate Kaeding kick),10,34
