Unnamed: 0,OAK,SDG
First Downs,16,19
Rush-Yds-TDs,17-81-0,37-130-1
Cmp-Att-Yd-TD-INT,22-40-236-1-1,17-22-160-2-0
Sacked-Yards,3-26,3-16
Net Pass Yards,210,144
Total Yards,291,274
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,0-0,1-15
Third Down Conv.,7-13,8-14
Fourth Down Conv.,0-1,0-0
Time of Possession,25:22,34:38
