Unnamed: 0,DEN,PIT
First Downs,13,27
Rush-Yds-TDs,23-115-1,19-96-1
Cmp-Att-Yd-TD-INT,16-27-227-3-0,38-54-433-1-3
Sacked-Yards,1-6,4-30
Net Pass Yards,221,403
Total Yards,336,499
Fumbles-Lost,0-0,6-3
Turnovers,0,6
Penalties-Yards,8-60,5-50
Third Down Conv.,3-12,4-13
Fourth Down Conv.,0-0,0-2
Time of Possession,25:27,34:33
