Unnamed: 0,TEN,NOR
First Downs,19,18
Rush-Yds-TDs,34-98-1,16-34-2
Cmp-Att-Yd-TD-INT,18-26-186-2-1,29-45-225-0-4
Sacked-Yards,0-0,1-7
Net Pass Yards,186,218
Total Yards,284,252
Fumbles-Lost,1-0,1-1
Turnovers,1,5
Penalties-Yards,8-49,2-15
Third Down Conv.,5-11,7-12
Fourth Down Conv.,1-1,0-1
Time of Possession,33:06,26:54
