Quarter,Time,Tm,Detail,JAX,BAL
1.0,2:29,Jaguars,Allen Hurns 5 yard pass from Blake Bortles (Jason Myers kick),7,0
2.0,11:32,Ravens,Crockett Gillmore 10 yard pass from Joe Flacco (Justin Tucker kick),7,7
,3:28,Jaguars,Jason Myers 21 yard field goal,10,7
,1:11,Ravens,Maxx Williams 21 yard pass from Joe Flacco (Justin Tucker kick),10,14
3.0,14:27,Jaguars,Jason Myers 45 yard field goal,13,14
4.0,13:01,Jaguars,Allen Robinson 15 yard pass from Blake Bortles (pass failed),19,14
,7:30,Ravens,Chris Givens 14 yard pass from Joe Flacco (pass failed),19,20
,0:00,Jaguars,Jason Myers 53 yard field goal,22,20
