Unnamed: 0,JAX,BAL
First Downs,22,22
Rush-Yds-TDs,22-90-0,21-89-0
Cmp-Att-Yd-TD-INT,22-45-188-2-1,34-45-316-3-2
Sacked-Yards,3-20,1-8
Net Pass Yards,168,308
Total Yards,258,397
Fumbles-Lost,0-0,2-2
Turnovers,1,4
Penalties-Yards,4-30,9-121
Third Down Conv.,4-16,8-14
Fourth Down Conv.,0-0,0-1
Time of Possession,30:32,29:28
