Quarter,Time,Tm,Detail,WAS,NYJ
1.0,13:00,Jets,Greg Zuerlein 25 yard field goal,0,3
,11:26,Jets,Jason Brownlee 8 yard pass from Trevor Siemian (Greg Zuerlein kick),0,10
,9:37,Jets,Breece Hall 36 yard rush (Greg Zuerlein kick),0,17
2.0,9:10,Jets,Greg Zuerlein 27 yard field goal,0,20
,6:38,Commanders,Chris Rodriguez 12 yard rush (Joey Slye kick),7,20
,1:35,Jets,Breece Hall 2 yard rush (Greg Zuerlein kick),7,27
3.0,3:26,Commanders,Logan Thomas 15 yard pass from Jacoby Brissett (Joey Slye kick),14,27
4.0,9:33,Commanders,Chris Rodriguez 1 yard rush (Joey Slye kick),21,27
,4:52,Commanders,Antonio Gibson 2 yard rush (Joey Slye kick),28,27
,0:05,Jets,Greg Zuerlein 54 yard field goal,28,30
