Quarter,Time,Tm,Detail,TAM,ATL
1.0,12:47,Falcons,Younghoe Koo 25 yard field goal,0,3
,6:45,Buccaneers,Chris Godwin 71 yard pass from Jameis Winston (Matt Gay kick),7,3
,0:46,Falcons,Qadree Ollison 1 yard rush (Younghoe Koo kick),7,10
2.0,7:55,Buccaneers,Chris Godwin 1 yard pass from Jameis Winston (Matt Gay kick failed),13,10
,0:40,Buccaneers,Vita Vea 1 yard pass from Jameis Winston (Matt Gay kick failed),19,10
3.0,10:58,Buccaneers,Ronald Jones II 4 yard rush (Matt Gay kick failed),25,10
,1:40,Falcons,Younghoe Koo 40 yard field goal,25,13
4.0,12:48,Buccaneers,Matt Gay 32 yard field goal,28,13
,8:12,Falcons,Younghoe Koo 38 yard field goal,28,16
,3:06,Buccaneers,Ndamukong Suh 6 yard fumble return (Matt Gay kick),35,16
,1:50,Falcons,Calvin Ridley 21 yard pass from Matt Schaub (pass failed),35,22
