Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ATL 25,0,0,Brian Hill left tackle for no gain (tackle by Ndamukong Suh),0.610,0.060
1,14:25,2,10,ATL 25,0,0,Matt Ryan pass complete deep middle to Jaeden Graham for 53 yards (tackle by Andrew Adams),0.060,4.110
1,13:38,1,10,TAM 22,0,0,Calvin Ridley right end for 15 yards (tackle by Andrew Adams),4.110,5.600
1,13:06,1,7,TAM 7,0,0,,5.600,4.760
1,13:01,2,7,TAM 7,0,0,Matt Ryan pass incomplete short middle,4.760,3.810
1,12:56,3,7,TAM 7,0,0,Matt Ryan pass incomplete short left intended for Calvin Ridley (defended by Jamel Dean) (defended by Carlton Davis),3.810,2.970
1,12:52,4,7,TAM 7,0,3,Younghoe Koo 25 yard field goal good,2.970,3.000
1,12:47,,,ATL 35,0,3,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
1,12:47,1,10,TAM 25,0,3,Ronald Jones left guard for 11 yards (tackle by Deion Jones and Damontae Kazee),0.610,1.330
1,12:12,1,10,TAM 36,0,3,Jameis Winston pass deep right intended for Mike Evans is intercepted by Desmond Trufant at ATL-47 and returned for no gain,1.330,-2.060
1,12:07,1,10,ATL 47,0,3,Brian Hill left tackle for 1 yard (tackle by Vita Vea and Ndamukong Suh),2.060,1.650
1,11:34,2,9,ATL 48,0,3,Matt Ryan pass complete short right to Russell Gage for 10 yards (tackle by Devin White),1.650,2.790
1,10:57,1,10,TAM 42,0,3,Matt Ryan pass incomplete short left intended for Christian Blake,2.790,2.240
1,10:51,2,10,TAM 42,0,3,Matt Ryan pass complete short left to Russell Gage for 7 yards (tackle by Jordan Whitehead),2.240,2.480
1,10:17,3,3,TAM 35,0,3,Qadree Ollison left end for no gain (tackle by William Gholston and Devin White),2.480,0.990
1,9:39,4,3,TAM 35,0,3,"Penalty on Jaeden Graham: False Start, 5 yards (no play)",0.990,0.590
1,9:31,4,8,TAM 40,0,3,Ryan Allen punts 37 yards out of bounds,0.590,0.380
1,9:22,1,10,TAM 3,0,3,"Penalty on Earl Watford: False Start, 1 yard (no play)",-0.380,-0.420
1,9:22,1,11,TAM 2,0,3,Jameis Winston right end for 12 yards (tackle by Kendall Sheffield),-0.420,-0.280
1,8:38,1,10,TAM 14,0,3,Ronald Jones right tackle for 3 yards (tackle by Foyesade Oluokun and Tyeler Davison),-0.280,-0.370
1,8:03,2,7,TAM 17,0,3,Jameis Winston pass complete short right to Ronald Jones for 8 yards (tackle by De'Vondre Campbell and Ricardo Allen),-0.370,0.610
1,7:28,1,10,TAM 25,0,3,Ronald Jones right guard for 4 yards (tackle by De'Vondre Campbell),0.610,0.600
1,6:57,2,6,TAM 29,6,3,"Jameis Winston pass complete deep middle to Chris Godwin for 71 yards, touchdown",0.600,7.000
1,6:45,,,ATL 15,7,3,Matt Gay kicks extra point good,0.000,0.000
1,6:45,,,TAM 35,7,3,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,6:45,1,10,ATL 25,7,3,Matt Ryan pass incomplete short middle intended for Julio Jones (defended by Carlton Davis),0.610,0.060
1,6:42,2,10,ATL 25,7,3,Matt Ryan pass complete short right to Calvin Ridley for 7 yards (tackle by Jamel Dean),0.060,0.300
1,6:12,3,3,ATL 32,7,3,Matt Ryan pass complete deep right to Julio Jones for 31 yards (tackle by Carlton Davis),0.300,3.120
1,5:24,1,10,TAM 37,7,3,Brian Hill left tackle for 3 yards (tackle by William Gholston),3.120,2.980
1,4:45,2,7,TAM 34,7,3,Matt Ryan pass incomplete deep right intended for Julio Jones,2.980,2.280
1,4:41,3,7,TAM 34,7,3,"Matt Ryan right end for 4 yards (tackle by Ndamukong Suh). Penalty on Jake Matthews: Illegal Use of Hands, 10 yards (no play)",2.280,0.960
1,4:14,3,17,TAM 44,7,3,Matt Ryan pass incomplete deep right intended for Calvin Ridley (defended by Jamel Dean),0.960,0.330
1,4:08,4,17,TAM 44,7,3,Ryan Allen punts 34 yards out of bounds,0.330,0.380
1,4:00,1,10,TAM 10,7,3,Peyton Barber left tackle for 3 yards (tackle by Jacob Tuioti-Mariner),-0.380,-0.560
1,3:28,2,7,TAM 13,7,3,Jameis Winston pass incomplete deep left intended for Mike Evans,-0.560,-1.070
1,3:24,3,7,TAM 13,7,3,Jameis Winston pass short middle intended for Dare Ogunbowale is intercepted by De'Vondre Campbell at TB-19 and returned for no gain,-1.070,-4.310
1,3:17,1,10,TAM 19,7,3,Qadree Ollison left guard for 6 yards (tackle by Shaquil Barrett and Jordan Whitehead),4.310,4.720
1,2:41,2,4,TAM 13,7,3,Matt Ryan pass incomplete short right intended for Calvin Ridley (defended by Jamel Dean),4.720,3.960
1,2:37,3,4,TAM 13,7,3,Matt Ryan right end for 8 yards (tackle by Devin White),3.960,6.060
1,2:04,1,5,TAM 5,7,3,Qadree Ollison left tackle for 4 yards (tackle by Jordan Whitehead and Devin White),6.060,5.910
1,1:27,2,1,TAM 1,7,3,Qadree Ollison right guard for no gain (tackle by Sean Murphy-Bunting and Sam Acho),5.910,5.170
1,0:50,3,1,TAM 1,7,9,"Qadree Ollison right tackle for 1 yard, touchdown",5.170,7.000
1,0:46,,,TAM 15,7,10,Younghoe Koo kicks extra point good,0.000,0.000
1,0:46,,,ATL 35,7,10,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
1,0:46,1,10,TAM 25,7,10,Jameis Winston pass incomplete short left intended for Mike Evans,0.610,0.060
1,0:42,2,10,TAM 25,7,10,Jameis Winston pass complete short left to Ronald Jones for 6 yards (tackle by De'Vondre Campbell),0.060,0.170
Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,TAM 31,7,10,Jameis Winston right tackle for 2 yards (tackle by Deion Jones),0.170,-1.180
2,14:16,4,2,TAM 33,7,10,"Bradley Pinion punts 54 yards, returned by Kenjon Barner for no gain (tackle by Ryan Smith)",-1.180,0.320
