Unnamed: 0,TAM,ATL
First Downs,20,22
Rush-Yds-TDs,34-133-1,19-57-1
Cmp-Att-Yd-TD-INT,18-28-313-3-2,28-55-326-1-1
Sacked-Yards,0-0,6-46
Net Pass Yards,313,280
Total Yards,446,337
Fumbles-Lost,0-0,2-1
Turnovers,2,2
Penalties-Yards,8-51,7-60
Third Down Conv.,6-13,4-16
Fourth Down Conv.,0-0,2-3
Time of Possession,28:22,31:38
