Unnamed: 0,BUF,NWE
First Downs,16,14
Rush-Yds-TDs,33-104-1,25-116-0
Cmp-Att-Yd-TD-INT,16-23-176-1-0,18-33-170-0-0
Sacked-Yards,2-12,4-26
Net Pass Yards,164,144
Total Yards,268,260
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,5-44,5-55
Third Down Conv.,5-11,5-15
Fourth Down Conv.,0-0,1-3
Time of Possession,29:03,30:57
