Quarter,Time,Tm,Detail,BUF,NWE
1.0,11:59,Bills,Robert Woods 6 yard pass from Kyle Orton (Dan Carpenter kick),7,0
,3:02,Patriots,Stephen Gostkowski 24 yard field goal,7,3
2.0,10:38,Bills,Anthony Dixon 1 yard rush (Dan Carpenter kick),14,3
,5:07,Patriots,Stephen Gostkowski 44 yard field goal,14,6
,2:14,Bills,Dan Carpenter 48 yard field goal,17,6
3.0,0:37,Patriots,Stephen Gostkowski 35 yard field goal,17,9
