Quarter,Time,Down,ToGo,Location,WAS,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,WAS 20,0,0,Alfred Morris left tackle for 2 yards (tackle by Mitch Unrein),0.280,0.000
1,14:24,2,8,WAS 22,0,0,Kirk Cousins pass complete short left to Pierre Garcon for 8 yards (tackle by Tracy Porter),0.000,0.940
1,13:57,1,10,WAS 30,0,0,Alfred Morris left tackle for 3 yards (tackle by Willie Young),0.940,0.800
1,13:19,2,7,WAS 33,0,0,Kirk Cousins pass complete short right to Jordan Reed for 11 yards (tackle by Tracy Porter),0.800,1.860
1,12:41,1,10,WAS 44,0,0,Alfred Morris left guard for 4 yards (tackle by Bruce Gaston and Will Sutton),1.860,1.860
1,12:18,2,6,WAS 48,0,0,Kirk Cousins sacked by Mitch Unrein for -6 yards,1.860,0.370
1,11:36,3,12,WAS 42,0,0,Kirk Cousins pass complete short left to Rashad Ross for 17 yards (tackle by Jonathan Anderson),0.370,2.850
1,10:55,1,10,CHI 41,0,0,Kirk Cousins right end for 9 yards (tackle by Sam Acho),2.850,3.520
1,10:17,2,1,CHI 32,0,0,Alfred Morris left end for 4 yards (tackle by Shea McClellin),3.520,3.710
1,9:37,1,10,CHI 28,0,0,Kirk Cousins pass complete short middle to Jordan Reed for 7 yards (tackle by Shea McClellin),3.710,4.110
1,8:58,2,3,CHI 21,0,0,Alfred Morris left end for no gain (tackle by Lamarr Houston),4.110,3.400
1,8:18,3,3,CHI 21,0,0,Alfred Morris right guard for 5 yards (tackle by Lamarr Houston),3.400,4.510
1,7:39,1,10,CHI 16,0,0,Alfred Morris left tackle for -2 yards (tackle by Lamarr Houston),4.510,3.640
1,6:57,2,12,CHI 18,0,0,Kirk Cousins pass complete short middle to Jordan Reed for 17 yards (tackle by Sherrick McManis),3.640,6.970
1,6:39,1,1,CHI 1,6,0,"Alfred Morris left guard for 1 yard, touchdown",6.970,7.000
1,6:39,,,CHI 1,7,0,Dustin Hopkins kicks extra point good,0.000,0.000
1,6:39,,,WAS 35,7,0,"Dustin Hopkins kicks off 59 yards, returned by Ka'Deem Carey for 22 yards (tackle by Carlos Fields)",0.000,-0.810
1,6:25,1,10,CHI 28,7,0,Matt Forte right guard for 3 yards (tackle by Bashaud Breeland),0.810,0.670
1,5:53,2,7,CHI 31,7,0,Jay Cutler pass complete short right to Zach Miller for 10 yards (tackle by William Compton),0.670,1.660
1,5:19,1,10,CHI 41,7,0,Jay Cutler sacked by Terrance Knighton for -7 yards,1.660,0.180
1,4:42,2,17,CHI 34,7,0,"Matt Forte right tackle for 10 yards (tackle by Bashaud Breeland). Penalty on Matt Slauson: Offensive Holding, 10 yards (no play)",0.180,-1.180
1,4:14,2,27,CHI 24,7,0,Jeremy Langford right end for 3 yards (tackle by Kyshoen Jarrett and Ryan Kerrigan),-1.180,-1.420
1,3:35,3,24,CHI 27,7,0,Jay Cutler pass complete short left to Jeremy Langford for 9 yards (tackle by Kyshoen Jarrett),-1.420,-0.980
1,2:50,4,15,CHI 36,7,0,"Pat O'Donnell punts 52 yards, returned by Jamison Crowder for 27 yards (tackle by Sherrod Martin). Penalty on Derek Carrier: Illegal Block Above the Waist, 6 yards",-0.980,0.380
1,2:37,1,10,WAS 7,7,0,Kirk Cousins pass complete short middle to Derek Carrier for 7 yards (tackle by Shea McClellin),-0.380,-0.250
1,2:22,2,3,WAS 14,7,0,Matt Jones left guard for 2 yards (tackle by Mitch Unrein),-0.250,-0.250
1,1:43,2,3,WAS 14,7,0,Timeout #1 by Washington Redskins,-0.250,-0.370
1,1:43,3,1,WAS 16,7,0,Kirk Cousins left guard for 2 yards (tackle by Mitch Unrein),-0.370,0.040
1,1:05,1,10,WAS 18,7,0,Kirk Cousins pass incomplete short right intended for Pierre Garcon,0.040,-0.490
1,1:01,2,10,WAS 18,7,0,Kirk Cousins pass complete short left to Jamison Crowder for 13 yards (tackle by Kyle Fuller),-0.490,1.000
1,0:29,1,10,WAS 31,7,0,"Kirk Cousins pass incomplete deep right intended for DeSean Jackson. Penalty on Tracy Porter: Defensive Pass Interference, 32 yards (no play)",1.000,3.120
1,0:23,1,10,CHI 37,7,0,Kirk Cousins pass complete short right to Jordan Reed for 28 yards (tackle by Adrian Amos),3.120,5.140
Quarter,Time,Down,ToGo,Location,WAS,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,9,CHI 9,7,0,Kirk Cousins pass complete short middle to Jordan Reed for 6 yards (tackle by Adrian Amos),5.140,5.530
2,14:23,2,3,CHI 3,13,0,"Kirk Cousins left end for 3 yards, touchdown",5.530,7.000
2,14:23,,,CHI 3,14,0,Dustin Hopkins kicks extra point good,0.000,0.000
2,14:23,,,WAS 35,14,0,"Dustin Hopkins kicks off 67 yards, returned by Deonte Thompson for 32 yards (tackle by Dustin Hopkins). Penalty on Khari Lee: Offensive Holding, 7 yards",0.000,0.380
2,14:12,1,10,CHI 7,14,0,Jeremy Langford left end for 9 yards (tackle by Dashon Goldson),-0.380,-0.020
2,13:43,2,1,CHI 16,14,0,Jay Cutler right tackle for 5 yards,-0.020,0.340
2,13:02,1,10,CHI 21,14,0,Jeremy Langford right guard for -1 yards (tackle by Bashaud Breeland),0.340,-0.340
2,12:29,2,11,CHI 20,14,0,Jay Cutler pass incomplete short right intended for Jeremy Langford,-0.340,-1.020
2,12:24,3,11,CHI 20,14,0,Jay Cutler pass complete short middle to Alshon Jeffery for 12 yards (tackle by William Compton),-1.020,1.070
2,11:45,1,10,CHI 32,14,0,Jay Cutler pass complete short right to Eddie Royal for 15 yards (tackle by Bashaud Breeland),1.070,2.060
2,11:14,1,10,CHI 47,14,0,Jeremy Langford left guard for 2 yards (tackle by Ryan Kerrigan),2.060,1.790
2,10:28,2,8,CHI 49,14,0,Jay Cutler pass incomplete short right intended for Zach Miller,1.790,1.090
2,10:23,3,8,CHI 49,14,0,Jay Cutler pass complete short right to Alshon Jeffery for 12 yards (tackle by Dashon Goldson),1.090,2.980
2,9:54,1,10,WAS 39,14,0,"Jay Cutler sacked by Trent Murphy for -9 yards. Jay Cutler fumbles (forced by Trent Murphy), recovered by Trent Murphy at WAS-49 (tackle by Patrick Omameh)",2.980,-2.190
2,9:46,1,10,WAS 49,14,0,"Kirk Cousins right end for 5 yards (tackle by Tracy Porter). Penalty on Morgan Moses: Offensive Holding, 10 yards (no play)",2.190,1.530
2,9:25,1,20,WAS 39,14,0,Kirk Cousins pass complete short middle to Pierre Thomas for 12 yards (tackle by Jonathan Anderson),1.530,1.920
2,8:51,2,8,CHI 49,14,0,Alfred Morris left guard for 4 yards (tackle by Jonathan Anderson),1.920,1.750
2,8:12,3,4,CHI 45,14,0,Kirk Cousins sacked by Willie Young for -10 yards,1.750,-0.390
2,7:34,4,14,WAS 45,14,0,"Tress Way punts 33 yards, out of bounds",-0.390,-0.410
2,7:27,1,10,CHI 22,14,0,Matt Forte left tackle for 5 yards (tackle by Will Blackmon),0.410,0.540
2,6:51,2,5,CHI 27,14,0,Matt Forte right end for 4 yards (tackle by Mason Foster),0.540,0.370
2,6:36,3,1,CHI 31,14,0,"Penalty on Ricky Jean-Francois: Neutral Zone Infraction, 5 yards (no play)",0.370,1.330
2,6:25,1,10,CHI 36,14,0,Jay Cutler pass complete deep right to Zach Miller for 30 yards (tackle by Mason Foster),1.330,3.310
2,5:38,1,10,WAS 34,14,0,Matt Forte left guard for 2 yards (tackle by Mason Foster),3.310,3.040
2,5:01,2,8,WAS 32,14,0,"Jay Cutler pass complete short middle to Zach Miller for 14 yards (tackle by DeAngelo Hall). Penalty on Charles Leno: Offensive Holding, 10 yards (no play)",3.040,1.690
2,4:30,2,18,WAS 42,14,0,"Jay Cutler pass complete short middle to Matt Forte for 6 yards (tackle by Will Blackmon). Penalty on Marc Mariani: Offensive Pass Interference, 10 yards (no play)",1.690,0.340
2,4:02,2,28,CHI 48,14,0,Jay Cutler pass incomplete short left intended for Khari Lee,0.340,-0.300
2,3:55,3,28,CHI 48,14,0,Jay Cutler pass complete short left to Zach Miller for 10 yards (tackle by Will Blackmon),-0.300,0.460
2,3:03,4,18,WAS 42,14,0,"Pat O'Donnell punts 42 yards, touchback",0.460,-0.280
2,2:55,1,10,WAS 20,14,0,Matt Jones left guard for 5 yards (tackle by Chris Prosinski),0.280,0.410
2,2:19,2,5,WAS 25,14,0,"Penalty on Trent Williams: False Start, 5 yards (no play)",0.410,-0.270
2,2:10,2,10,WAS 20,14,0,Matt Jones left tackle for -1 yards (tackle by Willie Young),-0.270,-1.140
2,2:00,3,11,WAS 19,14,0,Kirk Cousins sacked by Lamarr Houston for -9 yards,-1.140,-2.490
2,1:27,4,20,WAS 10,14,0,"Tress Way punts 64 yards, returned by Eddie Royal for 16 yards (tackle by Nick Sundberg)",-2.490,-1.730
2,1:10,1,10,CHI 42,14,0,"Penalty on Kyle Long: False Start, 5 yards (no play)",1.730,1.400
2,1:10,1,15,CHI 37,14,0,Jay Cutler pass complete short right to Jeremy Langford for 7 yards (tackle by William Compton),1.400,1.460
2,0:45,2,8,CHI 44,14,0,Jay Cutler pass incomplete deep right intended for Alshon Jeffery,1.460,0.760
2,0:40,3,8,CHI 44,14,0,Jay Cutler pass complete deep middle to Deonte Thompson for 36 yards (tackle by DeAngelo Hall),0.760,0.760
2,0:30,3,8,CHI 44,14,0,Timeout #1 by Chicago Bears,0.760,4.240
2,0:30,1,10,WAS 20,14,0,Jay Cutler pass incomplete deep left intended for Jeremy Langford,4.240,3.690
2,0:24,2,10,WAS 20,14,6,"Jay Cutler pass complete deep left to Alshon Jeffery for 20 yards, touchdown. Penalty on Will Blackmon: Defensive Pass Interference (Declined)",3.690,7.000
2,0:24,,,WAS 20,14,7,Robbie Gould kicks extra point good,0.000,0.000
2,0:24,,,CHI 35,14,7,"Robbie Gould kicks off 70 yards, returned by Rashad Ross for 22 yards (tackle by Sherrick McManis)",0.000,0.060
2,0:12,1,10,WAS 17,14,7,Kirk Cousins kneels for -1 yards,-0.060,-0.730
Quarter,Time,Down,ToGo,Location,WAS,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,14,7,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,CHI 20,14,7,Jay Cutler pass incomplete short middle intended for Matt Forte,0.280,-0.270
3,14:52,2,10,CHI 20,14,7,Matt Forte left end for 7 yards (tackle by Mason Foster),-0.270,-0.030
3,14:22,3,3,CHI 27,14,7,Jay Cutler sacked by Ryan Kerrigan for -8 yards,-0.030,-2.140
3,13:44,4,11,CHI 19,14,7,"Pat O'Donnell punts 49 yards, returned by Jamison Crowder for 6 yards (tackle by Sherrick McManis)",-2.140,-1.470
3,13:35,1,10,WAS 38,14,7,Kirk Cousins pass incomplete short right intended for Alfred Morris,1.470,0.920
3,13:29,2,10,WAS 38,14,7,Kirk Cousins pass complete short middle to Jordan Reed for 32 yards (tackle by Shea McClellin),0.920,3.580
3,12:45,1,10,CHI 30,14,7,Kirk Cousins pass complete short right to Pierre Garcon for 9 yards (tackle by Tracy Porter),3.580,4.250
3,12:07,2,1,CHI 21,14,7,Matt Jones left end for -1 yards (tackle by Will Sutton),4.250,3.400
3,11:23,3,2,CHI 22,14,7,Matt Jones left guard for 2 yards (tackle by Christian Jones),3.400,4.240
3,10:56,1,10,CHI 20,14,7,Matt Jones left guard for 8 yards (tackle by Adrian Amos),4.240,5.040
3,10:16,2,2,CHI 12,14,7,Matt Jones right guard for 3 yards (tackle by Christian Jones),5.040,5.140
3,9:32,1,9,CHI 9,14,7,Kirk Cousins pass complete short middle to Matt Jones for 6 yards (tackle by Lamarr Houston),5.140,5.530
3,8:52,2,3,CHI 3,14,7,Kirk Cousins pass complete short right to Darrel Young for 2 yards (tackle by Tracy Porter),5.530,5.530
3,8:05,2,3,CHI 3,14,7,Timeout #1 by Washington Redskins,5.530,5.170
3,8:05,3,1,CHI 1,14,7,--,5.170,4.260
3,8:05,3,5,CHI 5,20,7,"Kirk Cousins pass complete short middle to Jordan Reed for 5 yards, touchdown",4.260,7.000
3,8:05,,,CHI 5,21,7,Dustin Hopkins kicks extra point good,0.000,0.000
3,8:05,,,WAS 35,21,7,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
3,8:00,1,10,CHI 20,21,7,Jeremy Langford right end for 2 yards (tackle by Mason Foster),0.280,0.000
3,7:24,2,8,CHI 22,21,7,Jay Cutler pass complete short right to Marc Mariani for 13 yards (tackle by DeAngelo Hall),0.000,1.270
3,6:59,1,10,CHI 35,21,7,Jeremy Langford right guard for 8 yards (tackle by Chris Baker),1.270,1.800
3,6:40,2,2,CHI 43,21,7,"Jeremy Langford left tackle for 3 yards (tackle by DeAngelo Hall). Penalty on Dashon Goldson: Unnecessary Roughness, 15 yards",1.800,2.980
3,6:21,1,10,WAS 39,21,7,Jay Cutler pass complete short right to Alshon Jeffery for 11 yards (tackle by DeAngelo Hall),2.980,3.710
3,5:53,1,10,WAS 28,21,7,Jeremy Langford left end for no gain (tackle by Preston Smith),3.710,3.170
3,5:16,2,10,WAS 28,21,7,Jay Cutler pass complete short left to Jeremy Langford for 11 yards (tackle by Quinton Dunbar),3.170,4.440
3,4:32,1,10,WAS 17,21,7,Jeremy Langford left guard for 8 yards (tackle by Dashon Goldson),4.440,5.290
3,3:52,2,2,WAS 9,21,7,Jay Cutler pass incomplete short left intended for Jeremy Langford,5.290,4.570
3,3:47,3,2,WAS 9,21,13,"Jay Cutler pass complete short left to Zach Miller for 9 yards, touchdown",4.570,7.000
3,3:47,,,WAS 9,21,14,Robbie Gould kicks extra point good,0.000,0.000
3,3:47,,,CHI 35,21,14,"Robbie Gould kicks off 70 yards, returned by Rashad Ross for 22 yards (tackle by Harold Jones-Quartey). Penalty on Darrel Young: Offensive Holding, 8 yards",0.000,0.380
3,3:38,1,10,WAS 9,21,14,Alfred Morris right end for 2 yards (tackle by Sam Acho and Eddie Goldman),-0.380,-0.630
3,2:53,2,8,WAS 11,21,14,Kirk Cousins pass incomplete deep right intended for Pierre Garcon is intercepted by Kyle Fuller at WAS-30 and returned for 9 yards,-0.630,-4.170
3,2:42,1,10,WAS 21,21,14,Matt Forte left tackle for 4 yards (tackle by Quinton Dunbar),4.170,4.200
3,2:11,2,6,WAS 17,21,14,Matt Forte right guard for 10 yards (tackle by Dashon Goldson),4.200,5.600
3,1:28,1,7,WAS 7,21,20,"Matt Forte right guard for 7 yards, touchdown",5.600,7.000
3,1:28,,,WAS 7,21,21,Robbie Gould kicks extra point good,0.000,0.000
3,1:28,,,CHI 35,21,21,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
