Quarter,Time,Tm,Detail,WAS,CHI
1.0,6:30,Redskins,Alfred Morris 1 yard rush (Dustin Hopkins kick),7,0
2.0,14:19,Redskins,Kirk Cousins 3 yard rush (Dustin Hopkins kick),14,0
,0:18,Bears,Alshon Jeffery 20 yard pass from Jay Cutler (Robbie Gould kick),14,7
3.0,8:00,Redskins,Jordan Reed 5 yard pass from Kirk Cousins (Dustin Hopkins kick),21,7
,3:42,Bears,Zach Miller 9 yard pass from Jay Cutler (Robbie Gould kick),21,14
,1:24,Bears,Matt Forte 7 yard rush (Robbie Gould kick),21,21
4.0,14:07,Redskins,Dustin Hopkins 47 yard field goal,24,21
