Unnamed: 0,NYG,PHI
First Downs,18,19
Rush-Yds-TDs,18-126-1,29-127-1
Cmp-Att-Yd-TD-INT,26-37-297-1-1,20-28-236-1-0
Sacked-Yards,2-21,3-22
Net Pass Yards,276,214
Total Yards,402,341
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,11-91,7-46
Third Down Conv.,5-12,3-11
Fourth Down Conv.,0-0,1-1
Time of Possession,27:22,32:38
