Quarter,Time,Down,ToGo,Location,TAM,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Patrick Murray kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,ARI 25,0,0,Adrian Peterson middle for 8 yards (tackle by Chris Baker),0.610,1.140
1,14:24,2,2,ARI 33,0,0,Carson Palmer pass complete short left to Larry Fitzgerald for 3 yards,1.140,1.330
1,13:43,1,10,ARI 36,0,0,Adrian Peterson left tackle for 8 yards (tackle by William Gholston),1.330,1.870
1,13:07,2,2,ARI 44,0,0,Adrian Peterson left end for 11 yards (tackle by Chris Conte),1.870,2.590
1,12:33,1,10,TAM 45,0,0,Carson Palmer pass complete short right to Jermaine Gresham for 18 yards (tackle by Brent Grimes),2.590,3.780
1,12:00,1,10,TAM 27,0,6,"Adrian Peterson middle for 27 yards, touchdown",3.780,7.000
1,11:52,,,TAM 15,0,7,Phil Dawson kicks extra point good,0.000,0.000
1,11:52,,,ARI 35,0,7,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.610
1,11:52,1,10,TAM 25,0,7,Jameis Winston pass incomplete deep left intended for Mike Evans,0.610,0.060
1,11:45,2,10,TAM 25,0,7,Doug Martin left end for 4 yards (tackle by Corey Peters),0.060,-0.100
1,11:07,3,6,TAM 29,0,7,Jameis Winston pass complete short right to Cameron Brate for 15 yards (tackle by Tyvon Branch),-0.100,1.860
1,10:27,1,10,TAM 44,0,7,Doug Martin middle for 1 yard (tackle by Tyvon Branch),1.860,1.450
1,9:51,2,9,TAM 45,0,7,Jameis Winston pass complete short right to DeSean Jackson for 7 yards (tackle by Justin Bethel),1.450,1.690
1,9:18,3,2,ARI 48,0,7,Jameis Winston pass incomplete short right intended for Charles Sims,1.690,0.070
1,9:10,4,2,ARI 48,0,7,"Bryan Anger punts 34 yards, fair catch by Kerwynn Williams",0.070,0.280
1,9:02,1,10,ARI 14,0,7,Adrian Peterson middle for -1 yards (tackle by Lavonte David),-0.280,-0.850
1,8:23,2,11,ARI 13,0,7,Carson Palmer pass complete short left to Troy Niklas for 6 yards (tackle by Kendell Beckwith),-0.850,-0.800
1,7:45,3,5,ARI 19,0,7,Carson Palmer pass complete short middle to Larry Fitzgerald for 29 yards (tackle by Justin Evans),-0.800,2.130
1,7:04,1,10,ARI 48,0,7,Carson Palmer pass complete short left to John Brown for 15 yards,2.130,3.120
1,6:39,1,10,TAM 37,0,7,Adrian Peterson middle for 6 yards (tackle by Robert Ayers),3.120,3.380
1,5:59,2,4,TAM 31,0,7,Adrian Peterson left end for 17 yards (tackle by Chris Conte),3.380,4.650
1,5:29,1,10,TAM 14,0,13,"Carson Palmer pass complete short middle to Troy Niklas for 14 yards, touchdown",4.650,7.000
1,5:24,,,TAM 15,0,14,Phil Dawson kicks extra point good,0.000,0.000
1,5:24,,,ARI 35,0,14,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.610
1,5:24,1,10,TAM 25,0,14,Doug Martin middle for no gain (tackle by Kareem Martin),0.610,0.060
1,4:41,2,10,TAM 25,0,14,Jameis Winston pass complete short middle to O.J. Howard for 15 yards (tackle by Tyvon Branch and Deone Bucannon),0.060,1.600
1,4:06,1,10,TAM 40,0,14,Jameis Winston pass complete short middle to Cameron Brate for 15 yards (tackle by Karlos Dansby),1.600,2.590
1,3:29,1,10,ARI 45,0,14,Doug Martin right end for no gain (tackle by Deone Bucannon),2.590,2.040
1,2:50,2,10,ARI 45,0,14,Doug Martin right end for 2 yards (tackle by Antoine Bethea),2.040,1.620
1,2:08,3,8,ARI 43,0,14,"Penalty on Mike Evans: False Start, 5 yards (no play)",1.620,0.960
1,1:51,3,13,ARI 48,0,14,Jameis Winston pass complete short right to Charles Sims for 9 yards (tackle by Deone Bucannon),0.960,0.660
1,1:16,4,4,ARI 39,0,14,"Bryan Anger punts 34 yards, fair catch by Kerwynn Williams",0.660,0.380
1,1:08,1,10,ARI 5,0,14,Carson Palmer pass complete short left to Larry Fitzgerald for 9 yards,-0.380,-0.100
1,0:32,2,1,ARI 14,0,14,Kerwynn Williams middle for 11 yards (tackle by Brent Grimes),-0.100,0.610
Quarter,Time,Down,ToGo,Location,TAM,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 25,0,14,Kerwynn Williams right tackle for 4 yards (tackle by T.J. Ward),0.610,0.600
2,14:19,2,6,ARI 29,0,14,Kerwynn Williams middle for -1 yards (tackle by Clinton McDonald),0.600,-0.230
2,13:41,3,7,ARI 28,0,14,"Carson Palmer pass incomplete short right intended for Andre Ellington. Penalty on Robert Ayers: Defensive Offside, 5 yards (no play)",-0.230,0.430
