Unnamed: 0,TAM,ARI
First Downs,21,23
Rush-Yds-TDs,21-68-1,35-160-2
Cmp-Att-Yd-TD-INT,27-42-351-3-2,18-22-283-3-1
Sacked-Yards,2-7,2-11
Net Pass Yards,344,272
Total Yards,412,432
Fumbles-Lost,0-0,3-1
Turnovers,2,2
Penalties-Yards,9-49,7-61
Third Down Conv.,7-14,4-9
Fourth Down Conv.,2-3,0-1
Time of Possession,27:37,32:23
