Quarter,Time,Tm,Detail,CLE,JAX
1.0,8:08,Jaguars,Josh Scobee 47 yard field goal,0,3
2.0,13:11,Browns,Peyton Hillis 11 yard pass from Colt McCoy (Phil Dawson kick),7,3
,0:30,Jaguars,Mike Thomas 5 yard pass from David Garrard (Josh Scobee kick),7,10
3.0,11:14,Browns,Abram Elam 18 yard defensive fumble return (Phil Dawson kick),14,10
,1:50,Browns,Phil Dawson 38 yard field goal,17,10
4.0,3:34,Jaguars,Marcedes Lewis 14 yard pass from David Garrard (Josh Scobee kick),17,17
,2:46,Browns,Phil Dawson 41 yard field goal,20,17
,1:16,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),20,24
