Unnamed: 0,CLE,JAX
First Downs,15,24
Rush-Yds-TDs,26-88-0,28-145-1
Cmp-Att-Yd-TD-INT,17-28-241-1-1,20-35-254-2-4
Sacked-Yards,6-46,4-28
Net Pass Yards,195,226
Total Yards,283,371
Fumbles-Lost,1-0,2-2
Turnovers,1,6
Penalties-Yards,5-45,2-10
Third Down Conv.,7-16,4-11
Fourth Down Conv.,0-0,2-2
Time of Possession,28:32,31:28
