Unnamed: 0,PHI,WAS
First Downs,15,19
Rush-Yds-TDs,17-67-1,25-88-2
Cmp-Att-Yd-TD-INT,21-38-260-1-1,29-46-251-0-1
Sacked-Yards,2-15,3-27
Net Pass Yards,245,224
Total Yards,312,312
Fumbles-Lost,2-1,1-0
Turnovers,2,1
Penalties-Yards,5-41,12-137
Third Down Conv.,3-13,5-16
Fourth Down Conv.,0-0,0-1
Time of Possession,26:03,33:57
