Unnamed: 0,DET,ARI
First Downs,15,21
Rush-Yds-TDs,15-51-0,31-133-0
Cmp-Att-Yd-TD-INT,20-39-152-1-0,24-43-228-2-1
Sacked-Yards,0-0,6-48
Net Pass Yards,152,180
Total Yards,203,313
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,7-75,10-92
Third Down Conv.,2-12,6-17
Fourth Down Conv.,0-0,1-1
Time of Possession,25:27,38:45
