Quarter,Time,Down,ToGo,Location,DET,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 71 yards, returned by Kevin Kasper for 22 yards (tackle by Larry Foster). Penalty on Rafael Cooper: Personal Foul, 15 yards",0.000,1.330
1,14:45,1,10,ARI 36,0,0,Jake Plummer sacked by Luther Elliss for -13 yards,1.330,-0.970
1,14:28,2,23,ARI 23,0,0,Jake Plummer pass complete to Jason McAddley for 10 yards (tackle by Andre' Goodman and Eric Davis),-0.970,-0.300
1,13:57,3,13,ARI 33,0,0,"Penalty on Leonard Davis: False Start, 5 yards (no play)",-0.300,-0.960
1,13:40,3,18,ARI 28,0,0,Jake Plummer pass incomplete intended for Freddie Jones,-0.960,-1.500
1,13:37,4,18,ARI 28,6,0,"Scott Player punts 45 yards, returned by Eddie Drummond for 73 yards, touchdown. Penalty on ARI: Ineligible Downfield Kick (Declined)",-1.500,-7.000
1,13:15,,,ARI 28,7,0,Jason Hanson kicks extra point good,0.000,0.000
1,13:15,,,DET 30,7,0,"Jason Hanson kicks off 65 yards, returned by Kevin Kasper for 19 yards (tackle by Jimmy Wyrick)",0.000,0.540
1,13:08,1,10,ARI 24,7,0,Jake Plummer pass incomplete intended for Jason McAddley (defended by Todd Lyght),0.540,0.000
1,13:05,2,10,ARI 24,7,0,Jake Plummer pass complete to Marcel Shipp for 8 yards (tackle by Barrett Green and Chris Claiborne),0.000,0.370
1,12:36,3,2,ARI 32,7,0,"Jake Plummer pass incomplete intended for Jason McAddley. Penalty on Todd Lyght: Defensive Pass Interference, 13 yards (no play)",0.370,1.930
1,12:30,1,10,ARI 45,7,0,Marcel Shipp left tackle for 5 yards (tackle by James Hall and Shaun Rogers),1.930,2.060
1,11:55,2,5,,7,0,"Jake Plummer pass incomplete intended for Kevin Kasper. Penalty on Robert Porcher: Defensive Offside (Declined), Penalty on Andre' Goodman: Defensive Pass Interference, 20 yards (no play)",2.060,3.580
1,11:51,1,10,DET 30,7,0,Marcel Shipp middle for no gain (tackle by Shaun Rogers and Robert Porcher),3.580,3.030
1,11:10,2,10,DET 30,7,0,Marcel Shipp left guard for 13 yards (tackle by Chris Cash),3.030,4.440
1,10:32,1,10,DET 17,7,0,Marcel Shipp left guard for 16 yards (tackle by Corey Harris and Eric Davis),4.440,6.970
1,9:53,1,1,DET 1,7,6,"Jake Plummer pass complete to Joel Makovicka for 1 yard, touchdown",6.970,7.000
1,9:53,,,DET 1,7,7,Bill Gramatica kicks extra point good,0.000,0.000
1,9:53,,,ARI 30,7,7,"Bill Gramatica kicks off 62 yards, returned by Eddie Drummond for 23 yards (tackle by Raynoch Thompson)",0.000,1.000
1,9:39,1,10,DET 31,7,7,--,1.000,1.680
1,9:05,2,1,DET 40,7,7,Joey Harrington pass incomplete intended for Bill Schroeder,1.680,0.960
1,9:00,3,1,DET 40,7,7,James Stewart left guard for 4 yards (tackle by Kwamie Lassiter and Michael Young),0.960,1.860
1,8:27,1,10,DET 44,7,7,James Stewart right tackle for 5 yards (tackle by Raynoch Thompson),1.860,1.990
1,7:50,2,5,DET 49,7,7,Joey Harrington pass complete to Larry Foster for 7 yards (tackle by Raynoch Thompson). Penalty on Raynoch Thompson: Illegal Use of Hands (Declined),1.990,2.650
1,7:28,1,10,ARI 44,7,7,Mike McMahon pass incomplete intended for Germane Crowell,2.650,2.110
1,7:15,2,10,ARI 44,7,7,James Stewart left tackle for 3 yards (tackle by Kwamie Lassiter and Ronald McKinnon),2.110,1.820
1,6:39,3,7,ARI 41,7,7,Joey Harrington pass incomplete intended for Germane Crowell (defended by Renaldo Hill),1.820,0.530
1,6:34,4,7,ARI 41,7,7,"John Jett punts 41 yards, touchback",0.530,-0.280
1,6:22,1,10,ARI 20,7,7,Jake Plummer pass complete to Freddie Jones for 6 yards (tackle by Corey Harris),0.280,0.540
1,5:50,2,4,ARI 26,7,7,Jake Plummer pass complete to Jason McAddley for 4 yards (tackle by Andre' Goodman),0.540,0.940
1,5:19,1,10,ARI 30,7,7,"Marcel Shipp left end for 2 yards (tackle by Andre' Goodman and Chris Claiborne). Penalty on Kevin Kasper: Illegal Crackback, 15 yards",0.940,-0.210
1,4:57,1,23,ARI 17,7,7,Jake Plummer pass complete to Freddie Jones for 11 yards (tackle by Chris Claiborne and Chris Cash),-0.210,0.120
1,4:28,2,12,ARI 28,7,7,Jake Plummer sacked by Kalimba Edwards for -4 yards,0.120,-1.090
1,4:01,3,16,ARI 24,7,7,Jake Plummer pass complete to Marcel Shipp for 12 yards (tackle by Todd Lyght),-1.090,-0.980
1,3:23,4,4,ARI 36,7,7,"Scott Player punts 49 yards, returned by Eddie Drummond for 5 yards (tackle by Justin Lucas)",-0.980,-0.280
1,3:11,1,10,DET 20,7,7,Joey Harrington pass complete to John Owens for 13 yards (tackle by Justin Lucas),0.280,1.140
