Unnamed: 0,IND,BAL
First Downs,12,24
Rush-Yds-TDs,16-50-0,37-146-1
Cmp-Att-Yd-TD-INT,17-37-136-1-1,23-31-227-2-1
Sacked-Yards,4-19,2-15
Net Pass Yards,117,212
Total Yards,167,358
Fumbles-Lost,3-0,1-1
Turnovers,1,2
Penalties-Yards,3-15,5-40
Third Down Conv.,2-14,7-13
Fourth Down Conv.,3-4,0-1
Time of Possession,23:52,36:08
