Quarter,Time,Tm,Detail,IND,BAL
1.0,10:09,Ravens,Torrey Smith 8 yard pass from Joe Flacco (Billy Cundiff kick),0,7
,1:20,Ravens,Billy Cundiff 36 yard field goal,0,10
2.0,10:07,Ravens,Ray Rice 6 yard rush (Billy Cundiff kick),0,17
,3:06,Colts,Adam Vinatieri 22 yard field goal,3,17
3.0,3:41,Ravens,Dennis Pitta 7 yard pass from Joe Flacco (Billy Cundiff kick),3,24
4.0,0:00,Colts,Jacob Tamme 13 yard pass from Dan Orlovsky (Adam Vinatieri kick),10,24
