Quarter,Time,Down,ToGo,Location,IND,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Billy Cundiff kicks off 71 yards, touchback",0.000,0.280
1,15:00,1,10,IND 20,0,0,Dan Orlovsky pass incomplete short right intended for Dallas Clark,0.280,-0.270
1,14:57,2,10,IND 20,0,0,Dan Orlovsky pass complete short right to Pierre Garcon for 4 yards (tackle by Jameel McClain),-0.270,-0.430
1,14:13,3,6,IND 24,0,0,Dan Orlovsky sacked by Cory Redding for -7 yards,-0.430,-2.320
1,13:46,4,13,IND 17,0,0,"Pat McAfee punts 50 yards, returned by Lardarius Webb for 27 yards (tackle by Scott Lutrus)",-2.320,-2.920
1,13:32,1,10,IND 40,0,0,Joe Flacco pass complete short middle to Ray Rice for 8 yards (tackle by Fili Moala),2.920,3.450
1,13:00,2,2,IND 32,0,0,Ray Rice left tackle for 6 yards (tackle by David Caldwell and Philip Wheeler),3.450,3.840
1,12:20,1,10,IND 26,0,0,Ray Rice right guard for 2 yards (tackle by Pat Angerer and Antoine Bethea),3.840,3.570
1,11:42,2,8,IND 24,0,0,Ray Rice right guard for 5 yards (tackle by Fili Moala),3.570,3.570
1,11:04,3,3,IND 19,0,0,Ray Rice up the middle for 11 yards (tackle by Jacob Lacey),3.570,5.370
1,10:16,1,8,IND 8,0,6,"Joe Flacco pass complete short right to Torrey Smith for 8 yards, touchdown",5.370,7.000
1,,,,IND 2,0,7,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,BAL 35,0,7,"Billy Cundiff kicks off 66 yards, returned by Joe Lefeged for 29 yards (tackle by Brendon Ayanbadejo)",0.000,0.810
1,9:58,1,10,IND 28,0,7,"Donald Brown for 5 yards (tackle by Lardarius Webb). Penalty on Lardarius Webb: Face Mask (15 Yards), 15 yards",0.810,2.130
1,9:33,1,10,IND 48,0,7,Donald Brown left tackle for -3 yards (tackle by Cory Redding),2.130,1.180
1,8:58,2,13,IND 45,0,7,Donald Brown right tackle for 4 yards (tackle by Cory Redding and Jameel McClain),1.180,1.020
1,8:14,3,9,IND 49,0,7,Dan Orlovsky pass incomplete short left intended for Austin Collie (defended by Cary Williams),1.020,-0.130
1,8:07,4,9,IND 49,0,7,Pat McAfee punts 35 yards,-0.130,0.140
1,8:00,1,10,BAL 16,0,7,Ray Rice left guard for 1 yard (tackle by Pat Angerer),-0.140,-0.510
1,7:17,2,9,BAL 17,0,7,Joe Flacco pass complete short right to Torrey Smith for 8 yards (tackle by Jacob Lacey),-0.510,-0.200
1,6:38,3,1,BAL 25,0,7,Ray Rice left guard for 5 yards (tackle by David Caldwell and Antoine Bethea),-0.200,0.940
1,6:01,1,10,BAL 30,0,7,Joe Flacco pass incomplete short left intended for Lee Evans,0.940,0.390
1,5:57,2,10,BAL 30,0,7,Joe Flacco pass complete short middle to Ed Dickson for 14 yards (tackle by Ernie Sims and Chris Rucker),0.390,1.860
1,5:22,1,10,BAL 44,0,7,Joe Flacco pass complete short right to Torrey Smith for 12 yards (tackle by Jacob Lacey),1.860,2.650
1,4:47,1,10,IND 44,0,7,Joe Flacco pass complete short left to Ray Rice for 18 yards (tackle by Antoine Bethea),2.650,3.840
1,4:02,1,10,IND 26,0,7,Ricky Williams right end for 4 yards (tackle by Kavell Conner and Jacob Lacey),3.840,3.840
1,3:22,2,6,IND 22,0,7,Joe Flacco pass complete short right to Vonta Leach for 7 yards (tackle by David Caldwell and Kavell Conner),3.840,4.580
1,2:57,1,10,IND 15,0,7,Ray Rice right end for 2 yards (tackle by Kavell Conner and Antoine Bethea),4.580,4.280
1,2:18,2,8,IND 13,0,7,Ray Rice right end for no gain (tackle by Philip Wheeler and Jamaal Anderson),4.280,3.400
1,1:44,3,8,IND 13,0,7,"Penalty on Dennis Pitta: False Start, 5 yards (no play)",3.400,2.890
1,1:29,3,13,IND 18,0,7,Joe Flacco pass incomplete short right intended for Lee Evans,2.890,2.250
1,1:25,4,13,IND 18,0,10,Billy Cundiff 36 yard field goal good,2.250,3.000
1,,,,BAL 35,0,10,"Billy Cundiff kicks off 60 yards, returned by Joe Lefeged for 15 yards (tackle by Edgar Jones)",0.000,0.280
1,1:12,1,10,IND 20,0,10,Dan Orlovsky pass complete short right to Anthony Hill for 5 yards (tackle by Ed Reed),0.280,0.410
1,0:45,2,5,IND 25,0,10,Delone Carter left tackle for 2 yards (tackle by Cory Redding),0.410,-0.030
Quarter,Time,Down,ToGo,Location,IND,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,IND 27,0,10,Dan Orlovsky pass incomplete short right intended for Pierre Garcon (defended by Jimmy Smith),-0.030,-1.570
2,14:55,4,3,IND 27,0,10,"Pat McAfee punts 48 yards, returned by Lardarius Webb for 6 yards (tackle by Jacob Tamme)",-1.570,-1.000
2,14:46,1,10,BAL 31,0,10,Joe Flacco pass complete short right to Anquan Boldin for 9 yards (tackle by Jacob Lacey),1.000,1.680
2,14:08,2,1,BAL 40,0,10,Vonta Leach up the middle for 6 yards (tackle by Robert Mathis and Kavell Conner),1.680,1.990
2,13:28,1,10,BAL 46,0,10,Ricky Williams left guard for 3 yards (tackle by Philip Wheeler and Antoine Bethea),1.990,1.860
2,12:51,2,7,BAL 49,0,10,Joe Flacco pass incomplete short right intended for Torrey Smith (defended by Jacob Lacey),1.860,1.160
2,12:47,3,7,BAL 49,0,10,Joe Flacco pass complete short left to Ray Rice for 9 yards (tackle by Kevin Thomas and Ernie Sims),1.160,2.790
2,12:03,1,10,IND 42,0,10,Joe Flacco pass complete deep right to Torrey Smith for 17 yards (tackle by Jacob Lacey),2.790,3.910
2,11:21,1,10,IND 25,0,10,Joe Flacco pass incomplete short middle intended for Dennis Pitta (defended by Antoine Bethea),3.910,3.360
2,11:16,2,10,IND 25,0,10,Joe Flacco pass complete short middle to Dennis Pitta for 16 yards (tackle by Ernie Sims and Kevin Thomas),3.360,5.140
2,10:37,1,9,IND 9,0,10,Joe Flacco pass complete short left to Anquan Boldin for 3 yards (tackle by Chris Rucker),5.140,4.950
2,10:12,2,6,IND 6,0,16,"Ray Rice left end for 6 yards, touchdown",4.950,7.000
2,,,,IND 2,0,17,Billy Cundiff kicks extra point good,0.000,0.000
2,,,,BAL 35,0,17,"Billy Cundiff kicks off 63 yards, returned by Joe Lefeged for 51 yards (tackle by Tom Zbikowski)",0.000,2.460
2,9:58,1,10,BAL 47,0,17,"Dan Orlovsky sacked by Terrell Suggs for -6 yards. Dan Orlovsky fumbles (forced by Terrell Suggs), recovered by Jeff Linkenbach at IND-47",2.460,1.100
2,8:53,2,16,IND 47,0,17,Joseph Addai right end for 15 yards (tackle by Lardarius Webb),1.100,2.410
2,8:09,3,1,BAL 38,0,17,Delone Carter up the middle for -2 yards (tackle by Jarret Johnson),2.410,0.590
2,7:26,4,3,BAL 40,0,17,Dan Orlovsky pass complete short left to Dallas Clark for 12 yards (tackle by Bernard Pollard),0.590,3.710
2,6:41,1,10,BAL 28,0,17,Donald Brown left tackle for 3 yards (tackle by Terrence Cody),3.710,3.570
2,6:01,2,7,BAL 25,0,17,Dan Orlovsky pass incomplete short left intended for Dallas Clark,3.570,2.870
2,5:55,3,7,BAL 25,0,17,Dan Orlovsky pass complete short middle to Austin Collie for 8 yards (tackle by Lardarius Webb),2.870,4.440
