Unnamed: 0,BAL,IND
First Downs,19,17
Rush-Yds-TDs,29-160-0,24-67-1
Cmp-Att-Yd-TD-INT,19-40-210-1-2,20-33-249-1-0
Sacked-Yards,2-16,0-0
Net Pass Yards,194,249
Total Yards,354,316
Fumbles-Lost,1-0,1-0
Turnovers,2,0
Penalties-Yards,7-35,5-28
Third Down Conv.,4-17,5-13
Fourth Down Conv.,3-5,0-0
Time of Possession,31:22,28:38
