Quarter,Time,Tm,Detail,TEN,JAX
1.0,4:59,Titans,Ryan Succop 39 yard field goal,3,0
2.0,8:54,Jaguars,Josh Lambo 46 yard field goal,3,3
3.0,10:01,Titans,Ryan Succop 36 yard field goal,6,3
4.0,10:48,Jaguars,Josh Lambo 38 yard field goal,6,6
,4:06,Titans,Ryan Succop 28 yard field goal,9,6
