Unnamed: 0,TEN,JAX
First Downs,15,12
Rush-Yds-TDs,35-150-0,19-87-0
Cmp-Att-Yd-TD-INT,13-21-108-0-0,21-34-155-0-0
Sacked-Yards,3-25,3-10
Net Pass Yards,83,145
Total Yards,233,232
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,4-30,8-75
Third Down Conv.,5-15,5-14
Fourth Down Conv.,0-0,0-1
Time of Possession,32:47,27:13
