Quarter,Time,Tm,Detail,JAX,CIN
1.0,2:28,Bengals,Chad Johnson 2 yard pass from Ryan Fitzpatrick (Shayne Graham kick),0,7
2.0,10:44,Bengals,Chad Johnson 10 yard pass from Ryan Fitzpatrick (Shayne Graham kick),0,14
,3:03,Jaguars,Josh Scobee 52 yard field goal,3,14
3.0,9:15,Bengals,Cedric Benson 7 yard rush (Shayne Graham kick),3,21
4.0,13:27,Jaguars,Josh Scobee 26 yard field goal,6,21
,13:17,Jaguars,Montell Owens 18 yard fumble return (Josh Scobee kick),13,21
,1:17,Jaguars,Maurice Jones-Drew 1 yard rush (pass failed),19,21
