Unnamed: 0,IND,JAX
First Downs,24,20
Rush-Yds-TDs,37-138-2,12-37-0
Cmp-Att-Yd-TD-INT,18-26-227-0-1,28-47-330-1-2
Sacked-Yards,2-6,4-30
Net Pass Yards,221,300
Total Yards,359,337
Fumbles-Lost,1-1,1-1
Turnovers,2,3
Penalties-Yards,6-40,10-115
Third Down Conv.,3-11,1-10
Fourth Down Conv.,1-1,1-2
Time of Possession,35:46,24:14
