Quarter,Time,Tm,Detail,IND,JAX
1.0,7:27,Colts,Adam Vinatieri 31 yard field goal,3,0
2.0,13:44,Colts,Andrew Luck 5 yard rush (Adam Vinatieri kick),10,0
,7:39,Colts,Andrew Luck 1 yard rush (Adam Vinatieri kick),17,0
,0:17,Jaguars,Josh Scobee 40 yard field goal,17,3
3.0,10:50,Colts,Darius Butler 11 yard interception return (Adam Vinatieri kick),24,3
4.0,9:16,Jaguars,Cecil Shorts 4 yard pass from Chad Henne (Josh Scobee kick),24,10
,3:23,Colts,Adam Vinatieri 41 yard field goal,27,10
