Unnamed: 0,TAM,CAR
First Downs,23,22
Rush-Yds-TDs,21-82-0,32-179-4
Cmp-Att-Yd-TD-INT,24-41-243-4-2,19-25-247-2-0
Sacked-Yards,3-24,2-19
Net Pass Yards,219,228
Total Yards,301,407
Fumbles-Lost,1-0,1-0
Turnovers,2,0
Penalties-Yards,8-49,9-84
Third Down Conv.,5-12,4-10
Fourth Down Conv.,1-2,0-1
Time of Possession,29:00,31:00
