Unnamed: 0,GNB,JAX
First Downs,18,20
Rush-Yds-TDs,25-95-1,26-48-1
Cmp-Att-Yd-TD-INT,20-34-199-2-0,24-39-320-1-1
Sacked-Yards,1-0,3-20
Net Pass Yards,199,300
Total Yards,294,348
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,5-24,9-79
Third Down Conv.,7-14,4-15
Fourth Down Conv.,1-1,3-4
Time of Possession,28:37,31:23
