Quarter,Time,Tm,Detail,GNB,JAX
1.0,9:36,Packers,Aaron Rodgers 6 yard rush (Mason Crosby kick),7,0
,3:40,Jaguars,T.J. Yeldon 5 yard rush (Jason Myers kick),7,7
2.0,7:48,Jaguars,Jason Myers 26 yard field goal,7,10
,3:05,Packers,Jordy Nelson 6 yard pass from Aaron Rodgers (Mason Crosby kick),14,10
,1:09,Jaguars,Julius Thomas 22 yard pass from Blake Bortles (Jason Myers kick),14,17
,0:13,Packers,Davante Adams 29 yard pass from Aaron Rodgers (Mason Crosby kick),21,17
3.0,10:12,Packers,Mason Crosby 25 yard field goal,24,17
,6:15,Jaguars,Jason Myers 39 yard field goal,24,20
4.0,12:01,Packers,Mason Crosby 20 yard field goal,27,20
,5:12,Jaguars,Jason Myers 50 yard field goal,27,23
