Quarter,Time,Down,ToGo,Location,GNB,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 66 yards, returned by Corey Grant for 19 yards (tackle by Kyler Fackrell)",0.000,-0.040
1,14:56,1,10,JAX 18,0,0,T.J. Yeldon middle for 6 yards (tackle by Jake Ryan),0.040,0.410
1,14:16,2,4,JAX 24,0,0,T.J. Yeldon right guard for 5 yards (tackle by Blake Martinez),0.410,0.870
1,13:37,1,10,JAX 29,0,0,Blake Bortles pass incomplete deep right intended for Allen Robinson,0.870,0.330
1,13:30,2,10,JAX 29,0,0,T.J. Yeldon left guard for 2 yards (tackle by Nick Perry),0.330,-0.100
1,12:53,3,8,JAX 31,0,0,"Blake Bortles pass incomplete short right intended for Marqise Lee is intercepted by Joe Thomas at JAX-41 and returned for 9 yards. Joe Thomas fumbles (forced by Brandon Linder), recovered by Micah Hyde at JAX-29",-0.100,-3.640
1,12:41,1,10,JAX 29,0,0,Eddie Lacy left end for -2 yards (tackle by Dante Fowler),3.640,2.830
1,12:07,2,12,JAX 31,0,0,Aaron Rodgers pass complete short right to Randall Cobb for 5 yards (tackle by Telvin Smith),2.830,2.810
1,11:29,3,7,JAX 26,0,0,Aaron Rodgers pass complete short right to Randall Cobb for 6 yards (tackle by Telvin Smith),2.810,2.270
1,10:51,4,1,JAX 20,0,0,Eddie Lacy middle for 9 yards (tackle by Tashaun Gipson),2.270,4.840
1,10:33,1,10,JAX 11,0,0,"Aaron Rodgers pass incomplete short middle intended for Randall Cobb. Penalty on Dante Fowler: Defensive 12 On-field, 5 yards (no play)",4.840,5.990
,,,,,,,"GNB challenged the too many players on field ruling, and the original play was overturned.",,
1,10:29,1,5,JAX 6,0,0,Eddie Lacy right end for no gain (tackle by Jared Odrick and Telvin Smith),5.990,5.080
1,9:45,2,5,JAX 6,6,0,"Aaron Rodgers right end for 6 yards, touchdown",5.080,7.000
1,9:45,,,JAX 6,7,0,Mason Crosby kicks extra point good,0.000,0.000
1,9:45,,,GNB 35,7,0,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
1,9:36,1,10,JAX 25,7,0,T.J. Yeldon right end for -2 yards (tackle by Letroy Guion),0.610,-0.210
1,9:00,2,12,JAX 23,7,0,Blake Bortles pass incomplete short middle intended for Allen Robinson (defended by Damarious Randall),-0.210,-0.890
1,8:55,3,12,JAX 23,7,0,"Blake Bortles pass incomplete short middle intended for Allen Robinson. Penalty on Morgan Burnett: Defensive Pass Interference, 4 yards (no play)",-0.890,0.740
1,8:49,1,10,JAX 27,7,0,"T.J. Yeldon middle for 1 yard (tackle by Morgan Burnett and Damarious Randall). Penalty on Mike Daniels: Defensive Offside, 5 yards (no play)",0.740,1.470
1,8:21,1,5,JAX 32,7,0,Blake Bortles pass complete short right to Julius Thomas for 9 yards (tackle by Ha Ha Clinton-Dix),1.470,1.660
1,7:52,1,10,JAX 41,7,0,T.J. Yeldon middle for -2 yards (tackle by Letroy Guion),1.660,0.850
1,7:12,2,12,JAX 39,7,0,Blake Bortles pass complete short left to Marqise Lee for 10 yards (tackle by Ha Ha Clinton-Dix),0.850,1.490
1,6:43,3,2,JAX 49,7,0,Blake Bortles sacked by Clay Matthews for -10 yards,1.490,-0.780
1,6:06,4,12,JAX 39,7,0,Brad Nortman punts 58 yards,-0.780,0.380
1,5:56,1,10,GNB 3,7,0,Eddie Lacy middle for 3 yards (tackle by Paul Posluszny),-0.380,-0.560
1,5:27,2,7,GNB 6,7,0,Aaron Rodgers pass incomplete short left intended for Richard Rodgers,-0.560,-1.070
1,5:21,3,7,GNB 6,7,0,Aaron Rodgers pass incomplete short left intended for Davante Adams,-1.070,-2.490
1,5:16,4,7,GNB 6,7,0,"Jake Schum punts 56 yards, returned by Rashad Greene for 14 yards (tackle by Blake Martinez)",-2.490,-2.390
1,5:04,1,10,GNB 48,7,0,Blake Bortles pass complete short left to Marcedes Lewis for 37 yards (tackle by Damarious Randall),2.390,2.390
1,4:22,1,10,GNB 48,7,0,Timeout #1 by Jacksonville Jaguars,2.390,4.840
1,4:22,1,10,GNB 11,7,0,T.J. Yeldon middle for 6 yards (tackle by Jake Ryan),4.840,5.280
1,3:43,2,4,GNB 5,7,6,"T.J. Yeldon middle for 5 yards, touchdown",5.280,7.000
1,3:43,,,GNB 5,7,7,Jason Myers kicks extra point good,0.000,0.000
1,3:43,,,JAX 35,7,7,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
1,3:40,1,10,GNB 25,7,7,James Starks left end for 2 yards (tackle by Sen'Derrick Marks),0.610,0.330
1,3:05,2,8,GNB 27,7,7,James Starks middle for 4 yards (tackle by Yannick Ngakoue),0.330,0.170
1,2:27,3,4,GNB 31,7,7,Aaron Rodgers pass incomplete deep left intended for Davante Adams (defended by Prince Amukamara),0.170,-1.310
1,2:17,4,4,GNB 31,7,7,"Jake Schum punts 48 yards, fair catch by Rashad Greene",-1.310,-0.340
1,2:10,1,10,JAX 21,7,7,T.J. Yeldon middle for 7 yards (tackle by Blake Martinez and Kenny Clark),0.340,0.750
1,1:28,2,3,JAX 28,7,7,T.J. Yeldon right end for -7 yards (tackle by Clay Matthews),0.750,-0.890
1,0:46,3,10,JAX 21,7,7,Blake Bortles pass complete short middle to Julius Thomas for 9 yards (tackle by Micah Hyde),-0.890,-1.370
1,0:09,4,1,JAX 30,7,7,Brad Nortman punts 67 yards,-1.370,0.380
Quarter,Time,Down,ToGo,Location,GNB,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 3,7,7,Aaron Rodgers pass incomplete short left intended for Jordy Nelson,-0.380,-0.780
2,14:56,2,10,GNB 3,7,7,Eddie Lacy left end for -1 yards (tackle by Telvin Smith),-0.780,-1.540
2,14:21,3,11,GNB 2,7,7,"Penalty on Dante Fowler: Defensive Offside, 5 yards (no play)",-1.540,-0.950
2,13:56,3,6,GNB 7,7,7,Aaron Rodgers pass incomplete short left intended for Jordy Nelson,-0.950,-2.490
2,13:51,4,6,GNB 7,7,7,"Jake Schum punts 46 yards, out of bounds",-2.490,-2.060
2,13:40,1,10,JAX 47,7,7,"Penalty on Allen Hurns: False Start, 5 yards (no play)",2.060,1.730
2,13:40,1,15,JAX 42,7,7,T.J. Yeldon middle for -2 yards (tackle by Mike Daniels),1.730,0.570
2,13:01,2,17,JAX 40,7,7,Blake Bortles pass incomplete short right intended for Marqise Lee,0.570,-0.100
2,12:55,3,17,JAX 40,7,7,Blake Bortles pass complete short left to Marqise Lee for 12 yards (tackle by Joe Thomas),-0.100,0.070
2,12:12,4,5,GNB 48,7,7,Blake Bortles pass complete short middle to Allen Robinson for 8 yards (tackle by Morgan Burnett),0.070,2.920
2,11:47,1,10,GNB 40,7,7,Blake Bortles pass complete short middle to Julius Thomas for 14 yards (tackle by Morgan Burnett),2.920,3.840
2,11:09,1,10,GNB 26,7,7,T.J. Yeldon middle for 1 yard (tackle by Jake Ryan and Morgan Burnett),3.840,3.430
2,10:33,2,9,GNB 25,7,7,Blake Bortles pass complete short left to Allen Hurns for 8 yards (tackle by Sam Shields),3.430,3.950
2,10:05,3,1,GNB 17,7,7,T.J. Yeldon middle for 3 yards (tackle by Damarious Randall),3.950,4.650
2,9:24,1,10,GNB 14,7,7,T.J. Yeldon middle for -1 yards (tackle by Christian Ringo),4.650,3.850
2,8:38,2,11,GNB 15,7,7,Blake Bortles pass incomplete short left intended for Allen Robinson,3.850,3.850
2,8:33,2,11,GNB 15,7,7,Timeout #2 by Jacksonville Jaguars,3.850,3.060
2,8:33,3,11,GNB 15,7,7,Blake Bortles pass complete short middle to T.J. Yeldon for 7 yards (tackle by Damarious Randall),3.060,2.980
2,7:52,4,4,GNB 8,7,10,Jason Myers 26 yard field goal good,2.980,3.000
2,7:52,,,JAX 35,7,10,"Jason Myers kicks off 65 yards, touchback",0.000,-0.610
2,7:48,1,10,GNB 25,7,10,Eddie Lacy right end for 5 yards (tackle by Paul Posluszny),0.610,0.740
2,7:16,2,5,GNB 30,7,10,Randall Cobb middle for 6 yards (tackle by Dan Skuta),0.740,1.330
2,6:49,1,10,GNB 36,7,10,Eddie Lacy middle for 6 yards (tackle by Telvin Smith),1.330,1.600
2,6:12,2,4,GNB 42,7,10,Aaron Rodgers pass complete deep left to Davante Adams for 16 yards,1.600,1.600
2,5:34,2,4,GNB 42,7,10,Timeout #1 by Green Bay Packers,1.600,2.790
2,5:34,1,10,JAX 42,7,10,Aaron Rodgers pass complete short left to Davante Adams for 5 yards (tackle by Jalen Ramsey and Yannick Ngakoue),2.790,2.920
2,5:00,2,5,JAX 37,7,10,Aaron Rodgers pass complete short left to Jordy Nelson for 8 yards (tackle by Paul Posluszny),2.920,3.640
2,4:27,1,10,JAX 29,7,10,Aaron Rodgers pass complete short right to Eddie Lacy for 17 yards (tackle by Tashaun Gipson),3.640,4.780
2,3:46,1,10,JAX 12,7,10,Aaron Rodgers pass complete short right to Jordy Nelson for 6 yards (tackle by Davon House),4.780,5.210
2,3:14,2,4,JAX 6,13,10,"Aaron Rodgers pass complete short middle to Jordy Nelson for 6 yards, touchdown",5.210,7.000
2,3:14,,,JAX 6,14,10,Mason Crosby kicks extra point good,0.000,0.000
2,3:14,,,GNB 35,14,10,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
2,3:05,1,10,JAX 25,14,10,Denard Robinson middle for 2 yards (tackle by Jake Ryan),0.610,0.610
2,3:00,1,10,JAX 25,14,10,Timeout #2 by Green Bay Packers,0.610,0.330
2,3:00,2,8,JAX 27,14,10,Blake Bortles pass complete short left to T.J. Yeldon for 11 yards (tackle by Blake Martinez),0.330,1.470
