Unnamed: 0,PIT,BAL
First Downs,16,26
Rush-Yds-TDs,30-104-2,21-67-1
Cmp-Att-Yd-TD-INT,19-25-179-2-1,29-51-298-1-3
Sacked-Yards,0-0,1-5
Net Pass Yards,179,293
Total Yards,283,360
Fumbles-Lost,1-0,3-2
Turnovers,1,5
Penalties-Yards,7-51,13-100
Third Down Conv.,5-12,8-15
Fourth Down Conv.,0-1,1-1
Time of Possession,26:35,33:25
