Quarter,Time,Tm,Detail,PIT,BAL
1.0,12:37,Steelers,Amos Zereoue 35 yard rush (Todd Peterson kick),7,0
,1:08,Steelers,Plaxico Burress 20 yard pass from Tommy Maddox (Todd Peterson kick),14,0
2.0,14:53,Steelers,Plaxico Burress 9 yard pass from Tommy Maddox (Todd Peterson kick),21,0
,10:08,Ravens,Matt Stover 28 yard field goal,21,3
,5:21,Steelers,Amos Zereoue 1 yard rush (Todd Peterson kick),28,3
3.0,8:58,Ravens,John Jones 18 yard pass from Jeff Blake (Todd Heap pass from Jeff Blake),28,11
,4:11,Steelers,Todd Peterson 34 yard field goal,31,11
4.0,11:11,Ravens,Jeff Blake 1 yard rush (Matt Stover kick),31,18
