Unnamed: 0,CHI,SEA
First Downs,14,19
Rush-Yds-TDs,28-85-0,28-103-0
Cmp-Att-Yd-TD-INT,21-27-247-3-1,26-44-261-1-1
Sacked-Yards,2-14,3-18
Net Pass Yards,233,243
Total Yards,318,346
Fumbles-Lost,3-1,2-1
Turnovers,2,2
Penalties-Yards,6-60,4-45
Third Down Conv.,4-12,7-17
Fourth Down Conv.,1-1,1-2
Time of Possession,30:24,29:36
