Quarter,Time,Tm,Detail,NYJ,NWE
1.0,12:43,Patriots,Nelson Agholor 25 yard pass from Kendrick Bourne (Nick Folk kick),0,7
,7:21,Patriots,Damien Harris 1 yard rush (Nick Folk kick),0,14
2.0,14:10,Patriots,Nick Folk 39 yard field goal,0,17
,10:39,Jets,Corey Davis 3 yard pass from Mike White (Matt Ammendola kick),7,17
,5:29,Patriots,Brandon Bolden 15 yard pass from Mac Jones (Nick Folk kick),7,24
,0:27,Patriots,Hunter Henry 1 yard pass from Mac Jones (Nick Folk kick),7,31
3.0,11:38,Jets,Elijah Moore 19 yard rush (run failed),13,31
,7:03,Patriots,Nick Folk 50 yard field goal,13,34
4.0,13:29,Patriots,Damien Harris 3 yard rush (Nick Folk kick),13,41
,9:10,Patriots,J.J. Taylor 1 yard rush (Nick Folk kick failed),13,47
,2:59,Patriots,J.J. Taylor 1 yard rush (Nick Folk kick),13,54
