Quarter,Time,Tm,Detail,ARI,MIA
1.0,9:27,Dolphins,Kenny Stills 28 yard pass from Ryan Tannehill (Andrew Franks kick),0,7
,8:00,Cardinals,JJ Nelson 56 yard rush (Chandler Catanzaro kick failed),6,7
2.0,11:41,Dolphins,Dion Sims 7 yard pass from Ryan Tannehill (Andrew Franks kick),6,14
,1:18,Cardinals,Chandler Catanzaro 56 yard field goal,9,14
3.0,11:17,Dolphins,Damien Williams 3 yard pass from Ryan Tannehill (Andrew Franks kick),9,21
4.0,7:05,Cardinals,Brittan Golden 9 yard pass from Carson Palmer (Chandler Catanzaro kick failed),15,21
,7:05,Dolphins,Walt Aikens defensive extra point return,15,23
,3:01,Cardinals,JJ Nelson 8 yard pass from Carson Palmer (David Johnson pass from Carson Palmer),23,23
,0:00,Dolphins,Andrew Franks 21 yard field goal,23,26
