Quarter,Time,Down,ToGo,Location,ARI,MIA,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,ARI,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,ARI 3,6,7,Carson Palmer pass incomplete short middle intended for Jermaine Gresham,-0.630,0.000
2,14:55,,,,6,7,Timeout #1 by Arizona Cardinals,0.000,1.190
2,14:55,3,8,ARI 3,6,7,Carson Palmer pass incomplete short middle intended for David Johnson (defended by Jason Jones),-1.190,-2.490
2,14:50,4,8,ARI 3,6,7,"Drew Butler punts 62 yards, returned by Jarvis Landry for 17 yards (tackle by Kerwynn Williams). Penalty on Brittan Golden: Illegal Motion, 5 yards",-2.490,-2.720
2,14:36,1,10,ARI 43,6,7,"Ryan Tannehill sacked by Corey Peters for -9 yards. Penalty on Marcus Cooper: Defensive Holding, 5 yards (no play)",2.720,3.050
2,14:18,1,10,ARI 38,6,7,Jay Ajayi left guard for 13 yards (tackle by Tony Jefferson),3.050,3.910
2,13:39,1,10,ARI 25,6,7,Ryan Tannehill pass complete short left to Jarvis Landry for 12 yards (tackle by D.J. Swearinger),3.910,4.710
2,13:06,1,10,ARI 13,6,7,Ryan Tannehill right end for 7 yards (tackle by Markus Golden),4.710,5.340
2,12:28,2,3,ARI 6,6,7,Jay Ajayi left tackle for -1 yards (tackle by Josh Mauro),5.340,4.330
2,11:47,3,4,ARI 7,6,13,"Ryan Tannehill pass complete short right to Dion Sims for 7 yards, touchdown",4.330,7.000
2,11:41,,,ARI 15,6,14,Andrew Franks kicks extra point good,0.000,0.000
2,11:41,,,MIA 35,6,14,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.610
2,11:41,1,10,ARI 25,6,14,Carson Palmer pass complete short left to Michael Floyd for 3 yards,0.610,0.470
2,11:16,2,7,ARI 28,6,14,"Penalty on Ndamukong Suh: Neutral Zone Infraction, 5 yards (no play)",0.470,1.140
2,10:51,2,2,ARI 33,6,14,David Johnson right guard for 3 yards (tackle by Mike Hull and Donald Butler),1.140,1.330
