Unnamed: 0,ARI,MIA
First Downs,21,15
Rush-Yds-TDs,27-175-1,31-83-0
Cmp-Att-Yd-TD-INT,18-33-145-2-2,18-25-242-3-1
Sacked-Yards,3-20,1-11
Net Pass Yards,125,231
Total Yards,300,314
Fumbles-Lost,4-2,5-2
Turnovers,4,3
Penalties-Yards,7-54,14-118
Third Down Conv.,4-13,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,29:56,30:04
