Player,Pos
Zach Wilson,QB
Breece Hall,RB
Garrett Wilson,WR
Allen Lazard,WR
Tyler Conklin,TE
C.J. Uzomah,TE
Mekhi Becton,T
Laken Tomlinson,G
Alijah Vera-Tucker,G
Connor McGovern,C
Joe Tippmann,C
Quinton Jefferson,DL
John Franklin-Myers,DL
Quinnen Williams,DL
Jermaine Johnson II,LB
C.J. Mosley,LB
Quincy Williams,LB
Sauce Gardner,CB
D.J. Reed,CB
Michael Carter,CB
Jordan Whitehead,S
Adrian Amos,S
