Unnamed: 0,CAR,TAM
First Downs,14,19
Rush-Yds-TDs,19-63-0,29-67-0
Cmp-Att-Yd-TD-INT,22-38-205-1-3,22-40-253-2-0
Sacked-Yards,4-37,2-6
Net Pass Yards,168,247
Total Yards,231,314
Fumbles-Lost,3-1,4-2
Turnovers,4,2
Penalties-Yards,2-10,5-34
Third Down Conv.,4-14,7-16
Fourth Down Conv.,1-2,1-1
Time of Possession,24:07,35:53
