Quarter,Time,Down,ToGo,Location,TEN,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Stephen Gostkowski kicks off 62 yards, returned by Brandon Wilson for 25 yards (tackle by Chris Jackson and Amani Hooker)",0.000,0.810
1,14:53,1,10,CIN 28,0,0,Giovani Bernard left guard for 6 yards (tackle by DaQuan Jones),0.810,1.070
1,14:21,2,4,CIN 34,0,0,Joe Burrow pass complete short middle to Tee Higgins for 9 yards (tackle by Jayon Brown),1.070,1.800
1,13:46,1,10,CIN 43,0,0,Giovani Bernard right guard for 9 yards (tackle by Malcolm Butler and Rashaan Evans),1.800,2.470
1,13:09,2,1,TEN 48,0,0,Joe Burrow pass complete short right to Giovani Bernard for no gain (tackle by Jayon Brown),2.470,1.750
1,12:31,3,1,TEN 48,0,0,Joe Burrow up the middle for 2 yards (tackle by Jayon Brown),1.750,2.520
1,11:56,1,10,TEN 46,0,0,"Penalty on Shaq Calhoun: False Start, 5 yards (no play)",2.520,2.190
1,11:45,1,15,CIN 49,0,0,Joe Burrow pass incomplete short middle intended for Tee Higgins,2.190,1.300
1,11:41,2,15,CIN 49,0,0,Joe Burrow pass complete short left to Giovani Bernard for 10 yards (tackle by Malcolm Butler and Jayon Brown),1.300,1.950
1,10:56,3,5,TEN 41,0,0,Joe Burrow pass complete deep right to Tee Higgins for 24 yards (tackle by Johnathan Joseph),1.950,4.440
1,10:41,1,10,TEN 17,0,0,Joe Burrow pass incomplete short right intended for Drew Sample,4.440,3.850
1,10:35,2,10,TEN 17,0,0,Joe Burrow pass complete short left to Samaje Perine for 2 yards (tackle by Rashaan Evans and Malcolm Butler),3.850,3.340
1,9:56,3,8,TEN 15,0,0,Joe Burrow pass incomplete short left intended for Tyler Boyd,3.340,2.440
1,9:52,4,8,TEN 15,0,3,Randy Bullock 33 yard field goal good,2.440,3.000
1,9:48,,,CIN 35,0,3,"Randy Bullock kicks off 45 yards, returned by Khari Blasingame for 11 yards (tackle by Markus Bailey)",0.000,1.000
1,9:44,1,10,TEN 31,0,3,Ryan Tannehill pass complete short right to Jonnu Smith for 10 yards (tackle by Jessie Bates),1.000,1.660
1,9:06,1,10,TEN 41,0,3,Derrick Henry left end for no gain (tackle by LeShaun Sims),1.660,1.120
1,8:28,2,10,TEN 41,0,3,Ryan Tannehill pass complete short middle to Khari Blasingame for 5 yards (tackle by Amani Bledsoe),1.120,1.090
1,7:48,3,5,TEN 46,0,3,Ryan Tannehill up the middle for 15 yards (tackle by Jessie Bates),1.090,2.980
1,7:10,1,10,CIN 39,0,3,Derrick Henry right guard for 4 yards (tackle by Xavier Williams),2.980,2.980
1,6:34,2,6,CIN 35,0,3,Derrick Henry left tackle for no gain (tackle by Germaine Pratt and Carl Lawson),2.980,2.280
1,5:49,3,6,CIN 35,0,3,Ryan Tannehill pass complete deep left to Corey Davis for 27 yards (tackle by Jessie Bates),2.280,5.370
1,5:16,1,8,CIN 8,0,3,Ryan Tannehill pass short middle intended for A.J. Brown is intercepted by Jessie Bates at CIN-0 and returned for no gain,5.370,-0.280
1,5:07,1,10,CIN 20,0,3,Joe Burrow pass complete short right to Auden Tate for 6 yards (tackle by Johnathan Joseph),0.280,0.540
1,4:25,2,4,CIN 26,0,3,"Joe Burrow pass incomplete short middle intended for Cethan Carter (defended by Jayon Brown). Penalty on Rashaan Evans: Defensive Holding, 5 yards (no play)",0.540,1.000
1,4:20,1,10,CIN 31,0,3,"Billy Price aborted snap, recovered by Joe Burrow at CIN-21 Joe Burrow pass incomplete right",1.000,0.460
1,4:15,2,10,CIN 31,0,3,Joe Burrow pass complete short left to A.J. Green for 6 yards (tackle by Malcolm Butler),0.460,0.560
1,3:29,3,4,CIN 37,0,3,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Johnathan Joseph),0.560,-0.910
1,3:23,4,4,CIN 37,0,3,Kevin Huber punts 41 yards downed by Germaine Pratt,-0.910,-0.410
1,3:11,1,10,TEN 22,0,3,D'Onta Foreman up the middle for 6 yards (tackle by Vonn Bell),0.410,0.680
1,2:34,2,4,TEN 28,0,3,Ryan Tannehill left end for 5 yards (tackle by Josh Bynes),0.680,1.140
1,2:03,1,10,TEN 33,0,3,Derrick Henry right tackle for 6 yards (tackle by Christian Covington),1.140,1.400
1,1:26,2,4,TEN 39,0,3,Ryan Tannehill pass complete deep right to Corey Davis for 24 yards (tackle by Jessie Bates),1.400,3.120
1,1:00,1,10,CIN 37,0,3,Derrick Henry left guard for 2 yards (tackle by Christian Covington),3.120,2.840
1,0:39,2,8,CIN 35,0,3,Ryan Tannehill pass incomplete short left intended for Corey Davis,2.840,2.150
1,0:34,3,8,CIN 35,0,3,Ryan Tannehill pass incomplete short left intended for Adam Humphries,2.150,0.970
1,0:30,4,8,CIN 35,0,3,Stephen Gostkowski 53 yard field goal no good,0.970,-1.800
1,0:25,1,10,CIN 43,0,3,Joe Burrow pass complete short right to Tyler Boyd for 7 yards (tackle by Johnathan Joseph),1.800,2.200
Quarter,Time,Down,ToGo,Location,TEN,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,CIN 50,0,3,Samaje Perine right guard for 6 yards (tackle by Rashaan Evans and Kevin Byard),2.200,2.650
2,14:15,1,10,TEN 44,0,3,Samaje Perine up the middle for 2 yards (tackle by Kareem Orr),2.650,2.380
2,13:38,2,8,TEN 42,0,3,Joe Burrow pass incomplete short right intended for A.J. Green (defended by Malcolm Butler),2.380,1.690
2,13:34,3,8,TEN 42,0,3,Joe Burrow pass complete short right to Auden Tate for 8 yards (tackle by Johnathan Joseph and Kevin Byard),1.690,3.310
2,12:48,1,10,TEN 34,0,3,Samaje Perine left tackle for 1 yard (tackle by Jeffery Simmons),3.310,2.910
2,12:07,2,9,TEN 33,0,3,"Penalty on Hakeem Adeniji: False Start, 5 yards (no play)",2.910,2.230
2,11:53,2,14,TEN 38,0,3,Joe Burrow pass complete short middle to Tyler Boyd for 13 yards (tackle by Kevin Byard),2.230,3.270
2,11:09,3,1,TEN 25,0,3,Joe Burrow pass complete short right to Cethan Carter for 2 yards (tackle by Harold Landry),3.270,4.040
2,10:36,1,10,TEN 23,0,3,"Joe Burrow pass incomplete deep right intended for Tee Higgins (defended by Johnathan Joseph). Penalty on Johnathan Joseph: Defensive Pass Interference, 22 yards (no play)",4.040,6.970
2,10:31,1,1,TEN 1,0,9,"Samaje Perine up the middle for 1 yard, touchdown",6.970,7.000
2,10:26,,,TEN 15,0,10,Randy Bullock kicks extra point good,0.000,0.000
2,10:26,,,CIN 35,0,10,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
2,10:26,1,10,TEN 25,0,10,Derrick Henry right tackle for 9 yards (tackle by Mike Daniels and Vonn Bell),0.610,1.280
2,9:52,2,1,TEN 34,0,10,Derrick Henry right end for 13 yards (tackle by Jessie Bates and Josh Bynes),1.280,2.060
2,9:26,1,10,TEN 47,0,10,"Derrick Henry right end for 8 yards (tackle by Xavier Williams). Penalty on Xavier Williams: Horse Collar Tackle, 15 yards",2.060,3.580
2,8:53,1,10,CIN 30,0,10,D'Onta Foreman right tackle for 11 yards (tackle by Jessie Bates),3.580,4.310
2,8:23,1,10,CIN 19,0,10,D'Onta Foreman left end for 3 yards (tackle by William Jackson),4.310,4.180
2,7:42,2,7,CIN 16,0,10,Derrick Henry right guard for 6 yards (tackle by Jessie Bates and Logan Wilson),4.180,4.690
2,7:03,3,1,CIN 10,0,10,Derrick Henry right guard for 4 yards (tackle by Khalid Kareem),4.690,5.830
2,6:40,1,6,CIN 6,0,10,Derrick Henry left tackle for 3 yards (tackle by Christian Covington and Vonn Bell),5.830,5.530
2,6:11,,,,,,Timeout #1 by Cincinnati Bengals,,
2,6:10,2,3,CIN 3,0,10,Ryan Tannehill pass incomplete short right intended for MyCole Pruitt,5.530,4.720
2,6:06,3,3,CIN 3,6,10,"Derrick Henry right guard for 3 yards, touchdown",4.720,7.000
2,6:04,,,CIN 15,7,10,Stephen Gostkowski kicks extra point good,0.000,0.000
2,6:04,,,TEN 35,7,10,"Stephen Gostkowski kicks off 52 yards, returned by Brandon Wilson for 14 yards (tackle by Kareem Orr and Nick Dzubnar)",0.000,0.740
2,5:56,1,10,CIN 27,7,10,Giovani Bernard right guard for 12 yards (tackle by Jayon Brown and Chris Jackson),0.740,1.530
2,5:19,1,10,CIN 39,7,10,Joe Burrow pass complete short right to Tee Higgins for 13 yards (tackle by Johnathan Joseph),1.530,2.390
2,4:38,1,10,TEN 48,7,10,"Joe Burrow pass complete short right to A.J. Green for 3 yards (tackle by Malcolm Butler). Penalty on Vic Beasley: Defensive Offside, 5 yards (no play)",2.390,3.120
2,4:10,1,5,TEN 43,7,10,Giovani Bernard left tackle for -3 yards (tackle by Chris Jackson),3.120,2.120
2,3:24,2,8,TEN 46,7,10,Joe Burrow pass complete short right to Tee Higgins for 3 yards (tackle by Rashaan Evans),2.120,1.820
2,2:41,3,5,TEN 43,7,10,Joe Burrow pass incomplete deep right intended for A.J. Green,1.820,0.400
2,2:36,,,,,,Timeout #2 by Cincinnati Bengals,,
2,2:36,,,,,,Timeout #2 by Tennessee Titans,,
2,2:36,4,5,TEN 43,7,10,Joe Burrow pass complete deep middle to Tee Higgins for 22 yards (tackle by Amani Hooker and Chris Jackson),0.400,4.170
2,2:04,1,10,TEN 21,7,10,"Penalty on Vic Beasley: Neutral Zone Infraction, 5 yards (no play)",4.170,5.080
2,2:00,1,5,TEN 16,7,10,Giovani Bernard up the middle for 4 yards (tackle by Harold Landry),5.080,5.160
2,1:14,2,1,TEN 12,7,10,Joe Burrow right guard for no gain (tackle by Jayon Brown),5.160,4.490
2,0:36,3,1,TEN 12,7,16,"Giovani Bernard up the middle for 12 yards, touchdown",4.490,7.000
2,0:32,,,TEN 15,7,17,Randy Bullock kicks extra point good,0.000,0.000
2,0:32,,,CIN 35,7,17,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
2,0:32,1,10,TEN 25,7,17,Ryan Tannehill pass incomplete short middle intended for Anthony Firkser (defended by Shawn Williams),0.610,0.060
2,0:27,2,10,TEN 25,7,17,Jeremy McNichols up the middle for 16 yards (tackle by Mackensie Alexander),0.060,1.660
2,0:21,,,,,,Timeout #3 by Tennessee Titans,,
2,0:21,1,10,TEN 41,7,17,Ryan Tannehill pass incomplete deep middle intended for Adam Humphries (defended by Jessie Bates),1.660,1.120
2,0:17,2,10,TEN 41,7,17,Ryan Tannehill pass complete short left to Corey Davis for 9 yards,1.120,1.620
2,0:14,3,1,TEN 50,7,17,Ryan Tannehill pass incomplete deep left,1.620,-0.060
2,0:08,,,,,,Timeout #3 by Cincinnati Bengals,,
2,0:08,4,1,TEN 50,7,17,Ryan Tannehill pass complete short right to Kalif Raymond for 11 yards (tackle by Mackensie Alexander),-0.060,2.980
Quarter,Time,Down,ToGo,Location,TEN,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,7,17,"Randy Bullock kicks off 64 yards, returned by Kalif Raymond for 19 yards (tackle by Jordan Evans and Tony Brown)",0.000,0.280
3,14:54,1,10,TEN 20,7,17,Ryan Tannehill pass complete deep right to Corey Davis for 23 yards (tackle by LeShaun Sims),0.280,1.800
3,14:23,1,10,TEN 43,7,17,Derrick Henry right tackle for 4 yards (tackle by Christian Covington),1.800,1.790
3,13:51,2,6,TEN 47,7,17,Ryan Tannehill pass complete short middle to Jonnu Smith for 19 yards (tackle by Jessie Bates),1.790,3.310
3,13:09,1,10,CIN 34,7,17,Derrick Henry right end for 8 yards (tackle by Germaine Pratt),3.310,3.850
3,12:28,2,2,CIN 26,7,17,"Derrick Henry up the middle for 3 yards (tackle by Carl Lawson). Penalty on Ben Jones: Offensive Holding, 10 yards (no play)",3.850,2.500
