Unnamed: 0,TEN,CIN
First Downs,27,27
Rush-Yds-TDs,29-218-1,32-118-2
Cmp-Att-Yd-TD-INT,18-30-233-2-1,26-37-249-2-0
Sacked-Yards,1-10,0-0
Net Pass Yards,223,249
Total Yards,441,367
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,7-68,7-45
Third Down Conv.,5-9,10-15
Fourth Down Conv.,1-1,1-1
Time of Possession,24:03,35:57
